,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,line_original,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,positivity_bar_chart,song_name,artist_name,tsne_x_combined,tsne_y_combined
10,10,10,10,10,two,two,two,11,2,2,Chorus,1,3,20,0,0,"[11, 16, 21, 26, 31, 178, 190, 195, 200, 210, 398, 410, 415, 420, 430, 606, 618, 623, 628, 638]","[('two', 'CD')]",DET,POSITIVE,0.9899,Just the two of us, just the two of us,POSITIVE,0.9991,0.9991,45,0.8653846153846154,0.9899,119,0.6761363636363636,pos_word_pos_line,Just the Two of Us,Will Smith,16.847070693969727,13.55646800994873
11,11,11,11,11,of,of,of,12,2,2,Chorus,1,4,21,1,1,"[12, 17, 22, 27, 32, 179, 191, 196, 201, 211, 312, 399, 411, 416, 421, 431, 607, 619, 624, 629, 639]","[('of', 'IN')]",PREP,POSITIVE,0.9193,Just the two of us, just the two of us,POSITIVE,0.9991,0.9991,45,0.8653846153846154,0.9193,67,0.3806818181818182,pos_word_pos_line,Just the Two of Us,Will Smith,9.16939926147461,-9.643716812133787
12,12,12,12,12,us,us,us,13,2,2,Chorus,1,5,20,0,0,"[13, 18, 23, 28, 33, 180, 192, 197, 202, 212, 400, 412, 417, 422, 432, 608, 620, 625, 630, 640]","[('us', 'PRP')]",PRON,POSITIVE,0.999,Just the two of us, just the two of us,POSITIVE,0.9991,0.9991,45,0.8653846153846154,0.999,167,0.9488636363636364,pos_word_pos_line,Just the Two of Us,Will Smith,-2.119887113571167,-0.9886552691459656
13,13,13,13,13,Just,Just,just,14,3,2,Chorus,2,6,24,5,4,"[9, 14, 19, 24, 29, 84, 176, 188, 193, 198, 208, 232, 396, 408, 413, 418, 428, 457, 504, 604, 616, 621, 626, 636]","[('just', 'RB')]",ADV,POSITIVE,0.8226,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.8226,59,0.3352272727272727,pos_word_pos_line,Just the Two of Us,Will Smith,10.688145637512207,5.462139129638672
14,14,14,14,14,the,the,the,15,3,2,Chorus,2,7,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.9636,84,0.4772727272727273,pos_word_pos_line,Just the Two of Us,Will Smith,5.6437530517578125,-7.906484127044678
15,15,15,15,15,two,two,two,16,3,2,Chorus,2,8,20,0,0,"[11, 16, 21, 26, 31, 178, 190, 195, 200, 210, 398, 410, 415, 420, 430, 606, 618, 623, 628, 638]","[('two', 'CD')]",DET,POSITIVE,0.9899,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.9899,119,0.6761363636363636,pos_word_pos_line,Just the Two of Us,Will Smith,16.847070693969727,13.55646800994873
16,16,16,16,16,of,of,of,17,3,2,Chorus,2,9,21,1,1,"[12, 17, 22, 27, 32, 179, 191, 196, 201, 211, 312, 399, 411, 416, 421, 431, 607, 619, 624, 629, 639]","[('of', 'IN')]",PREP,POSITIVE,0.9193,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.9193,67,0.3806818181818182,pos_word_pos_line,Just the Two of Us,Will Smith,9.16939926147461,-9.643716812133787
17,17,17,17,17,us,us,us,18,3,2,Chorus,2,10,20,0,0,"[13, 18, 23, 28, 33, 180, 192, 197, 202, 212, 400, 412, 417, 422, 432, 608, 620, 625, 630, 640]","[('us', 'PRP')]",PRON,POSITIVE,0.999,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.999,167,0.9488636363636364,pos_word_pos_line,Just the Two of Us,Will Smith,-2.119887113571167,-0.9886552691459656
18,18,18,18,18,(just,just,just,19,3,2,Chorus,2,11,24,5,4,"[9, 14, 19, 24, 29, 84, 176, 188, 193, 198, 208, 232, 396, 408, 413, 418, 428, 457, 504, 604, 616, 621, 626, 636]","[('just', 'RB')]",ADV,POSITIVE,0.8226,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.8226,59,0.3352272727272727,pos_word_pos_line,Just the Two of Us,Will Smith,10.688145637512207,5.462139129638672
19,19,19,19,19,the,the,the,20,3,2,Chorus,2,12,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.9636,84,0.4772727272727273,pos_word_pos_line,Just the Two of Us,Will Smith,5.6437530517578125,-7.906484127044678
20,20,20,20,20,two,two,two,21,3,2,Chorus,2,13,20,0,0,"[11, 16, 21, 26, 31, 178, 190, 195, 200, 210, 398, 410, 415, 420, 430, 606, 618, 623, 628, 638]","[('two', 'CD')]",DET,POSITIVE,0.9899,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.9899,119,0.6761363636363636,pos_word_pos_line,Just the Two of Us,Will Smith,16.847070693969727,13.55646800994873
21,21,21,21,21,of,of,of,22,3,2,Chorus,2,14,21,1,1,"[12, 17, 22, 27, 32, 179, 191, 196, 201, 211, 312, 399, 411, 416, 421, 431, 607, 619, 624, 629, 639]","[('of', 'IN')]",PREP,POSITIVE,0.9193,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.9193,67,0.3806818181818182,pos_word_pos_line,Just the Two of Us,Will Smith,9.16939926147461,-9.643716812133787
22,22,22,22,22,us),us,us,23,3,2,Chorus,2,15,20,0,0,"[13, 18, 23, 28, 33, 180, 192, 197, 202, 212, 400, 412, 417, 422, 432, 608, 620, 625, 630, 640]","[('us', 'PRP')]",PRON,POSITIVE,0.999,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.999,167,0.9488636363636364,pos_word_pos_line,Just the Two of Us,Will Smith,-2.119887113571167,-0.9886552691459656
23,23,23,23,23,Just,Just,just,24,4,2,Chorus,3,16,24,5,4,"[9, 14, 19, 24, 29, 84, 176, 188, 193, 198, 208, 232, 396, 408, 413, 418, 428, 457, 504, 604, 616, 621, 626, 636]","[('just', 'RB')]",ADV,POSITIVE,0.8226,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.8226,59,0.3352272727272727,pos_word_pos_line,Just the Two of Us,Will Smith,10.688145637512207,5.462139129638672
24,24,24,24,24,the,the,the,25,4,2,Chorus,3,17,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.9636,84,0.4772727272727273,pos_word_pos_line,Just the Two of Us,Will Smith,5.6437530517578125,-7.906484127044678
25,25,25,25,25,two,two,two,26,4,2,Chorus,3,18,20,0,0,"[11, 16, 21, 26, 31, 178, 190, 195, 200, 210, 398, 410, 415, 420, 430, 606, 618, 623, 628, 638]","[('two', 'CD')]",DET,POSITIVE,0.9899,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.9899,119,0.6761363636363636,pos_word_pos_line,Just the Two of Us,Will Smith,16.847070693969727,13.55646800994873
26,26,26,26,26,of,of,of,27,4,2,Chorus,3,19,21,1,1,"[12, 17, 22, 27, 32, 179, 191, 196, 201, 211, 312, 399, 411, 416, 421, 431, 607, 619, 624, 629, 639]","[('of', 'IN')]",PREP,POSITIVE,0.9193,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.9193,67,0.3806818181818182,pos_word_pos_line,Just the Two of Us,Will Smith,9.16939926147461,-9.643716812133787
27,27,27,27,27,us,us,us,28,4,2,Chorus,3,20,20,0,0,"[13, 18, 23, 28, 33, 180, 192, 197, 202, 212, 400, 412, 417, 422, 432, 608, 620, 625, 630, 640]","[('us', 'PRP')]",PRON,POSITIVE,0.999,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.999,167,0.9488636363636364,pos_word_pos_line,Just the Two of Us,Will Smith,-2.119887113571167,-0.9886552691459656
28,28,28,28,28,(just,just,just,29,4,2,Chorus,3,21,24,5,4,"[9, 14, 19, 24, 29, 84, 176, 188, 193, 198, 208, 232, 396, 408, 413, 418, 428, 457, 504, 604, 616, 621, 626, 636]","[('just', 'RB')]",ADV,POSITIVE,0.8226,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.8226,59,0.3352272727272727,pos_word_pos_line,Just the Two of Us,Will Smith,10.688145637512207,5.462139129638672
29,29,29,29,29,the,the,the,30,4,2,Chorus,3,22,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.9636,84,0.4772727272727273,pos_word_pos_line,Just the Two of Us,Will Smith,5.6437530517578125,-7.906484127044678
30,30,30,30,30,two,two,two,31,4,2,Chorus,3,23,20,0,0,"[11, 16, 21, 26, 31, 178, 190, 195, 200, 210, 398, 410, 415, 420, 430, 606, 618, 623, 628, 638]","[('two', 'CD')]",DET,POSITIVE,0.9899,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.9899,119,0.6761363636363636,pos_word_pos_line,Just the Two of Us,Will Smith,16.847070693969727,13.55646800994873
31,31,31,31,31,of,of,of,32,4,2,Chorus,3,24,21,1,1,"[12, 17, 22, 27, 32, 179, 191, 196, 201, 211, 312, 399, 411, 416, 421, 431, 607, 619, 624, 629, 639]","[('of', 'IN')]",PREP,POSITIVE,0.9193,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.9193,67,0.3806818181818182,pos_word_pos_line,Just the Two of Us,Will Smith,9.16939926147461,-9.643716812133787
32,32,32,32,32,us),us,us,33,4,2,Chorus,3,25,20,0,0,"[13, 18, 23, 28, 33, 180, 192, 197, 202, 212, 400, 412, 417, 422, 432, 608, 620, 625, 630, 640]","[('us', 'PRP')]",PRON,POSITIVE,0.999,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,27,0.5192307692307693,0.999,167,0.9488636363636364,pos_word_pos_line,Just the Two of Us,Will Smith,-2.119887113571167,-0.9886552691459656
33,33,33,33,33,From,From,from,34,5,3,Verse 1: Will Smith,1,1,3,3,3,"[34, 75, 526]","[('from', 'IN')]",PREP,POSITIVE,0.7563,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.7563,53,0.30113636363636365,pos_word_pos_line,Just the Two of Us,Will Smith,9.169180870056152,-11.565410614013672
34,34,34,34,34,the,the,the,35,5,3,Verse 1: Will Smith,1,2,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9636,84,0.4772727272727273,pos_word_pos_line,Just the Two of Us,Will Smith,5.6437530517578125,-7.906484127044678
35,35,35,35,35,first,first,first,36,5,3,Verse 1: Will Smith,1,3,2,2,2,"[36, 79]","[('first', 'RB')]",ADV,POSITIVE,0.9978,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9978,156,0.8863636363636364,pos_word_pos_line,Just the Two of Us,Will Smith,17.49111557006836,8.325729370117188
36,36,36,36,36,time,time,time,37,5,3,Verse 1: Will Smith,1,4,2,2,2,"[37, 273]","[('time', 'NN')]",N,POSITIVE,0.9581,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9581,82,0.4659090909090909,pos_word_pos_line,Just the Two of Us,Will Smith,1.1199355125427246,1.0233019590377808
37,37,37,37,37,the,the,the,38,5,3,Verse 1: Will Smith,1,5,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9636,84,0.4772727272727273,pos_word_pos_line,Just the Two of Us,Will Smith,5.6437530517578125,-7.906484127044678
38,38,38,38,38,doctor,doctor,doctor,39,5,3,Verse 1: Will Smith,1,6,2,2,2,"[39, 262]","[('doctor', 'NN')]",N,POSITIVE,0.9869,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9869,112,0.6363636363636364,pos_word_pos_line,Just the Two of Us,Will Smith,-10.966798782348633,8.271512031555176
39,39,39,39,39,placed,placed,placed,40,5,3,Verse 1: Will Smith,1,7,2,2,2,"[40, 104]","[('placed', 'VBN')]",V,POSITIVE,0.9978,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9978,156,0.8863636363636364,pos_word_pos_line,Just the Two of Us,Will Smith,-11.363348960876465,-2.8443574905395512
40,40,40,40,40,you,you,you,41,5,3,Verse 1: Will Smith,1,8,30,27,27,"[41, 53, 101, 105, 142, 175, 213, 225, 245, 256, 270, 281, 289, 300, 319, 328, 342, 346, 351, 374, 385, 433, 445, 547, 550, 553, 570, 598, 603, 641]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9991,168,0.9545454545454546,pos_word_pos_line,Just the Two of Us,Will Smith,-3.064016580581665,-4.1720709800720215
41,41,41,41,41,in,in,in,42,5,3,Verse 1: Will Smith,1,9,11,8,8,"[42, 59, 90, 106, 205, 357, 377, 425, 505, 565, 633]","[('in', 'IN')]",PREP,POSITIVE,0.979,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.979,97,0.5511363636363636,pos_word_pos_line,Just the Two of Us,Will Smith,7.949272155761719,-11.402522087097168
42,42,42,42,42,my,my,my,43,5,3,Verse 1: Will Smith,1,10,9,9,9,"[43, 60, 122, 134, 149, 172, 313, 478, 508]","[('my', 'PRP$')]",PRON,POSITIVE,0.9935,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9935,132,0.75,pos_word_pos_line,Just the Two of Us,Will Smith,-3.438248872756958,-2.803454875946045
43,43,43,43,43,arms,arms,arms,44,5,3,Verse 1: Will Smith,1,11,1,1,1,[44],"[('arms', 'NNS')]",N,POSITIVE,0.9996,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9996,173,0.9829545454545454,pos_word_pos_line,Just the Two of Us,Will Smith,-2.602179765701294,8.043564796447754
44,44,44,44,44,I,I,I,45,6,3,Verse 1: Will Smith,2,12,30,27,27,"[45, 63, 111, 116, 119, 127, 138, 140, 152, 170, 215, 222, 226, 253, 267, 275, 292, 308, 316, 320, 325, 338, 392, 435, 452, 454, 475, 596, 643, 653]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9797,98,0.5568181818181818,pos_word_neg_line,Just the Two of Us,Will Smith,6.476741313934326,-5.617037773132324
45,45,45,45,45,knew,knew,knew,46,6,3,Verse 1: Will Smith,2,13,1,1,1,[46],"[('knew', 'NNS')]",N,POSITIVE,0.996,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.996,144,0.8181818181818182,pos_word_neg_line,Just the Two of Us,Will Smith,13.090725898742676,-0.6401299834251404
46,46,46,46,46,I'd,I'd,I'd,47,6,3,Verse 1: Will Smith,2,14,2,2,2,"[47, 51]","[('I', 'PRP'), (""'d"", 'MD')]",MULT,POSITIVE,0.9956,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9956,142,0.8068181818181818,pos_word_neg_line,Just the Two of Us,Will Smith,6.048363208770753,23.08456039428711
47,47,47,47,47,meet,meet,meet,48,6,3,Verse 1: Will Smith,2,15,2,2,2,"[48, 54]","[('meet', 'NN')]",N,POSITIVE,0.9994,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9994,171,0.9715909090909092,pos_word_neg_line,Just the Two of Us,Will Smith,-1.2599753141403198,-15.360689163208008
48,48,48,48,48,death,death,death,49,6,3,Verse 1: Will Smith,2,16,1,1,1,[49],"[('death', 'NN')]",N,NEGATIVE,0.9997,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,-0.9997,1,0.005681818181818182,neg_word_neg_line,Just the Two of Us,Will Smith,-2.360539197921753,11.59710693359375
49,49,49,49,49,before,before,before,50,6,3,Verse 1: Will Smith,2,17,1,1,1,[50],"[('before', 'IN')]",PREP,POSITIVE,0.8023,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.8023,57,0.32386363636363635,pos_word_neg_line,Just the Two of Us,Will Smith,10.754324913024902,-2.219279289245605
50,50,50,50,50,I'd,I'd,I'd,51,6,3,Verse 1: Will Smith,2,18,2,2,2,"[47, 51]","[('I', 'PRP'), (""'d"", 'MD')]",MULT,POSITIVE,0.9956,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9956,142,0.8068181818181818,pos_word_neg_line,Just the Two of Us,Will Smith,6.048363208770753,23.08456039428711
51,51,51,51,51,let,let,let,52,6,3,Verse 1: Will Smith,2,19,3,3,3,"[52, 157, 555]","[('let', 'VB')]",V,NEGATIVE,0.7554,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,-0.7554,45,0.2556818181818182,neg_word_neg_line,Just the Two of Us,Will Smith,-10.046360969543457,-13.860998153686525
52,52,52,52,52,you,you,you,53,6,3,Verse 1: Will Smith,2,20,30,27,27,"[41, 53, 101, 105, 142, 175, 213, 225, 245, 256, 270, 281, 289, 300, 319, 328, 342, 346, 351, 374, 385, 433, 445, 547, 550, 553, 570, 598, 603, 641]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9991,168,0.9545454545454546,pos_word_neg_line,Just the Two of Us,Will Smith,-3.064016580581665,-4.1720709800720215
53,53,53,53,53,meet,meet,meet,54,6,3,Verse 1: Will Smith,2,21,2,2,2,"[48, 54]","[('meet', 'NN')]",N,POSITIVE,0.9994,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9994,171,0.9715909090909092,pos_word_neg_line,Just the Two of Us,Will Smith,-1.2599753141403198,-15.360689163208008
54,54,54,54,54,harm,harm,harm,55,6,3,Verse 1: Will Smith,2,22,1,1,1,[55],"[('harm', 'NN')]",N,NEGATIVE,0.9997,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,-0.9997,1,0.005681818181818182,neg_word_neg_line,Just the Two of Us,Will Smith,3.9471638202667236,-7.126573085784912
55,55,55,55,55,Although,Although,although,56,7,3,Verse 1: Will Smith,3,23,1,1,1,[56],"[('although', 'IN')]",PREP,NEGATIVE,0.8668,"Although questions arose in my mind, would I be man enough", although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,-0.8668,43,0.24431818181818185,neg_word_neg_line,Just the Two of Us,Will Smith,-3.8574860095977774,2.1881046295166016
56,56,56,56,56,questions,questions,questions,57,7,3,Verse 1: Will Smith,3,24,1,1,1,[57],"[('questions', 'NNS')]",N,NEGATIVE,0.8590000000000001,"Although questions arose in my mind, would I be man enough", although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,-0.8590000000000001,44,0.25,neg_word_neg_line,Just the Two of Us,Will Smith,-6.171634197235107,1.9624212980270384
57,57,57,57,57,arose,arose,arose,58,7,3,Verse 1: Will Smith,3,25,1,1,1,[58],"[('arose', 'NN')]",N,POSITIVE,0.9921,"Although questions arose in my mind, would I be man enough", although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,0.9921,124,0.7045454545454546,pos_word_neg_line,Just the Two of Us,Will Smith,3.339437246322632,-9.4191312789917
