,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,line_original,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,positivity_bar_chart,song_name,artist_name,tsne_x_combined,tsne_y_combined
10,10,10,10,10,10,10,10,10,10,10,dum,dum,dum,11,3,1,Intro: Freddie Mercury,3,11,2,2,2,"[5, 11]","[('dum', 'NN')]",N,NEGATIVE,0.9993,Doo buh dum ba beh beh, doo buh dum ba beh beh,NEGATIVE,0.9718,-0.9718,18,0.42857142857142855,-0.9993,4,0.038461538461538464,neg_word_neg_line,Under Pressure,Queen & David Bowie,18.1674919128418,8.321503639221191
11,11,11,11,11,11,11,11,11,11,11,ba,ba,ba,12,3,1,Intro: Freddie Mercury,3,12,13,13,13,"[3, 7, 12, 45, 46, 49, 50, 97, 98, 120, 124, 125, 126]","[('ba', 'NN')]",N,POSITIVE,0.9783,Doo buh dum ba beh beh, doo buh dum ba beh beh,NEGATIVE,0.9718,-0.9718,18,0.42857142857142855,0.9783,54,0.5192307692307693,pos_word_neg_line,Under Pressure,Queen & David Bowie,10.90511417388916,-0.2669279873371124
12,12,12,12,12,12,12,12,12,12,12,beh,beh,beh,13,3,1,Intro: Freddie Mercury,3,13,2,2,2,"[13, 14]","[('beh', 'NN')]",N,POSITIVE,0.7894,Doo buh dum ba beh beh, doo buh dum ba beh beh,NEGATIVE,0.9718,-0.9718,18,0.42857142857142855,0.7894,31,0.2980769230769231,pos_word_neg_line,Under Pressure,Queen & David Bowie,-16.033443450927734,-14.232007026672365
13,13,13,13,13,13,13,13,13,13,13,beh,beh,beh,14,3,1,Intro: Freddie Mercury,3,14,2,2,2,"[13, 14]","[('beh', 'NN')]",N,POSITIVE,0.7894,Doo buh dum ba beh beh, doo buh dum ba beh beh,NEGATIVE,0.9718,-0.9718,18,0.42857142857142855,0.7894,31,0.2980769230769231,pos_word_neg_line,Under Pressure,Queen & David Bowie,-16.033443450927734,-14.232007026672365
14,14,14,14,14,14,14,14,14,14,14,Pressure,Pressure,pressure,15,4,2,Verse 1: David Bowie & Freddie Mercury,1,1,9,9,9,"[15, 29, 83, 175, 220, 313, 315, 317, 318]","[('pressure', 'NN')]",N,NEGATIVE,0.9933,Pressure pushing down on me, pressure pushing down on me,NEGATIVE,0.9814,-0.9814,16,0.3809523809523809,-0.9933,9,0.08653846153846154,neg_word_neg_line,Under Pressure,Queen & David Bowie,-3.592129945755005,-6.784911632537843
15,15,15,15,15,15,15,15,15,15,15,pushing,pushing,pushing,16,4,2,Verse 1: David Bowie & Freddie Mercury,1,2,1,1,1,[16],"[('pushing', 'VBG')]",V,POSITIVE,0.9951,Pressure pushing down on me, pressure pushing down on me,NEGATIVE,0.9814,-0.9814,16,0.3809523809523809,0.9951,81,0.7788461538461539,pos_word_neg_line,Under Pressure,Queen & David Bowie,-5.246650218963623,-5.659126281738281
16,16,16,16,16,16,16,16,16,16,16,down,down,down,17,4,2,Verse 1: David Bowie & Freddie Mercury,1,3,3,3,3,"[17, 21, 34]","[('down', 'RB')]",ADV,NEGATIVE,0.9997,Pressure pushing down on me, pressure pushing down on me,NEGATIVE,0.9814,-0.9814,16,0.3809523809523809,-0.9997,1,0.009615384615384616,neg_word_neg_line,Under Pressure,Queen & David Bowie,-12.214055061340332,-7.606203556060791
17,17,17,17,17,17,17,17,17,17,17,on,on,on,18,4,2,Verse 1: David Bowie & Freddie Mercury,1,4,13,13,13,"[18, 22, 42, 84, 87, 133, 141, 176, 179, 191, 275, 278, 287]","[('on', 'IN')]",PREP,POSITIVE,0.987,Pressure pushing down on me, pressure pushing down on me,NEGATIVE,0.9814,-0.9814,16,0.3809523809523809,0.987,63,0.6057692307692307,pos_word_neg_line,Under Pressure,Queen & David Bowie,12.668045997619627,3.9341793060302734
18,18,18,18,18,18,18,18,18,18,18,me,me,me,19,4,2,Verse 1: David Bowie & Freddie Mercury,1,5,5,5,5,"[19, 76, 81, 167, 172]","[('me', 'PRP')]",PRON,POSITIVE,0.9947,Pressure pushing down on me, pressure pushing down on me,NEGATIVE,0.9814,-0.9814,16,0.3809523809523809,0.9947,80,0.7692307692307693,pos_word_neg_line,Under Pressure,Queen & David Bowie,-15.489153861999512,-10.019376754760742
19,19,19,19,19,19,19,19,19,19,19,Pressing,Pressing,pressing,20,5,2,Verse 1: David Bowie & Freddie Mercury,2,6,1,1,1,[20],"[('pressing', 'VBG')]",V,POSITIVE,0.8274,"Pressing down on you, no man ask for", pressing down on you no man ask for,POSITIVE,0.8463,0.8463,28,0.6666666666666666,0.8274,33,0.3173076923076923,pos_word_pos_line,Under Pressure,Queen & David Bowie,-5.237760543823242,-6.382361888885497
20,20,20,20,20,20,20,20,20,20,20,down,down,down,21,5,2,Verse 1: David Bowie & Freddie Mercury,2,7,3,3,3,"[17, 21, 34]","[('down', 'RB')]",ADV,NEGATIVE,0.9997,"Pressing down on you, no man ask for", pressing down on you no man ask for,POSITIVE,0.8463,0.8463,28,0.6666666666666666,-0.9997,1,0.009615384615384616,neg_word_pos_line,Under Pressure,Queen & David Bowie,-12.214055061340332,-7.606203556060791
21,21,21,21,21,21,21,21,21,21,21,on,on,on,22,5,2,Verse 1: David Bowie & Freddie Mercury,2,8,13,13,13,"[18, 22, 42, 84, 87, 133, 141, 176, 179, 191, 275, 278, 287]","[('on', 'IN')]",PREP,POSITIVE,0.987,"Pressing down on you, no man ask for", pressing down on you no man ask for,POSITIVE,0.8463,0.8463,28,0.6666666666666666,0.987,63,0.6057692307692307,pos_word_pos_line,Under Pressure,Queen & David Bowie,12.668045997619627,3.9341793060302734
22,22,22,22,22,22,22,22,22,22,22,"you,",you,you,23,5,2,Verse 1: David Bowie & Freddie Mercury,2,9,3,3,3,"[23, 269, 290]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,"Pressing down on you, no man ask for", pressing down on you no man ask for,POSITIVE,0.8463,0.8463,28,0.6666666666666666,0.9991,97,0.9326923076923076,pos_word_pos_line,Under Pressure,Queen & David Bowie,-13.022394180297852,-17.202014923095707
23,23,23,23,23,23,23,23,23,23,23,no,no,no,24,5,2,Verse 1: David Bowie & Freddie Mercury,2,10,1,1,1,[24],"[('no', 'DT')]",DET,NEGATIVE,0.9964,"Pressing down on you, no man ask for", pressing down on you no man ask for,POSITIVE,0.8463,0.8463,28,0.6666666666666666,-0.9964,8,0.07692307692307693,neg_word_pos_line,Under Pressure,Queen & David Bowie,-8.028882026672362,-13.903230667114258
24,24,24,24,24,24,24,24,24,24,24,man,man,man,25,5,2,Verse 1: David Bowie & Freddie Mercury,2,11,2,2,2,"[25, 189]","[('man', 'NN')]",N,POSITIVE,0.8134,"Pressing down on you, no man ask for", pressing down on you no man ask for,POSITIVE,0.8463,0.8463,28,0.6666666666666666,0.8134,32,0.3076923076923077,pos_word_pos_line,Under Pressure,Queen & David Bowie,-9.155290603637695,-5.772232532501223
25,25,25,25,25,25,25,25,25,25,25,ask,ask,ask,26,5,2,Verse 1: David Bowie & Freddie Mercury,2,12,1,1,1,[26],"[('ask', 'NN')]",N,POSITIVE,0.6912,"Pressing down on you, no man ask for", pressing down on you no man ask for,POSITIVE,0.8463,0.8463,28,0.6666666666666666,0.6912,28,0.2692307692307692,pos_word_pos_line,Under Pressure,Queen & David Bowie,-14.615799903869627,2.7743666172027592
26,26,26,26,26,26,26,26,26,26,26,for,for,for,27,5,2,Verse 1: David Bowie & Freddie Mercury,2,13,2,2,2,"[27, 272]","[('for', 'IN')]",PREP,POSITIVE,0.9701,"Pressing down on you, no man ask for", pressing down on you no man ask for,POSITIVE,0.8463,0.8463,28,0.6666666666666666,0.9701,50,0.4807692307692308,pos_word_pos_line,Under Pressure,Queen & David Bowie,11.831887245178224,-7.519839286804199
27,27,27,27,27,27,27,27,27,27,27,Under,Under,under,28,6,2,Verse 1: David Bowie & Freddie Mercury,3,14,5,5,5,"[28, 219, 312, 314, 316]","[('under', 'IN')]",PREP,POSITIVE,0.9166,Under pressure that burns a building down, under pressure that burns a building down,NEGATIVE,0.9992,-0.9992,1,0.023809523809523808,0.9166,37,0.3557692307692308,pos_word_neg_line,Under Pressure,Queen & David Bowie,13.633197784423828,5.517682075500488
28,28,28,28,28,28,28,28,28,28,28,pressure,pressure,pressure,29,6,2,Verse 1: David Bowie & Freddie Mercury,3,15,9,9,9,"[15, 29, 83, 175, 220, 313, 315, 317, 318]","[('pressure', 'NN')]",N,NEGATIVE,0.9933,Under pressure that burns a building down, under pressure that burns a building down,NEGATIVE,0.9992,-0.9992,1,0.023809523809523808,-0.9933,9,0.08653846153846154,neg_word_neg_line,Under Pressure,Queen & David Bowie,-3.592129945755005,-6.784911632537843
29,29,29,29,29,29,29,29,29,29,29,that,that,that,30,6,2,Verse 1: David Bowie & Freddie Mercury,3,16,2,2,2,"[30, 235]","[('that', 'IN')]",PREP,POSITIVE,0.9895,Under pressure that burns a building down, under pressure that burns a building down,NEGATIVE,0.9992,-0.9992,1,0.023809523809523808,0.9895,67,0.6442307692307693,pos_word_neg_line,Under Pressure,Queen & David Bowie,6.282057762145996,-3.6008126735687256
30,30,30,30,30,30,30,30,30,30,30,burns,burns,burns,31,6,2,Verse 1: David Bowie & Freddie Mercury,3,17,1,1,1,[31],"[('burns', 'NNS')]",N,NEGATIVE,0.9989,Under pressure that burns a building down, under pressure that burns a building down,NEGATIVE,0.9992,-0.9992,1,0.023809523809523808,-0.9989,5,0.04807692307692308,neg_word_neg_line,Under Pressure,Queen & David Bowie,0.1930779367685318,7.15163516998291
31,31,31,31,31,31,31,31,31,31,31,a,a,a,32,6,2,Verse 1: David Bowie & Freddie Mercury,3,18,4,4,4,"[32, 36, 187, 192]","[('a', 'DT')]",DET,POSITIVE,0.9873,Under pressure that burns a building down, under pressure that burns a building down,NEGATIVE,0.9992,-0.9992,1,0.023809523809523808,0.9873,64,0.6153846153846154,pos_word_neg_line,Under Pressure,Queen & David Bowie,14.46420669555664,-0.8100928068161011
32,32,32,32,32,32,32,32,32,32,32,building,building,building,33,6,2,Verse 1: David Bowie & Freddie Mercury,3,19,1,1,1,[33],"[('building', 'NN')]",N,POSITIVE,0.9978,Under pressure that burns a building down, under pressure that burns a building down,NEGATIVE,0.9992,-0.9992,1,0.023809523809523808,0.9978,88,0.8461538461538461,pos_word_neg_line,Under Pressure,Queen & David Bowie,-2.072878360748291,16.541566848754886
33,33,33,33,33,33,33,33,33,33,33,down,down,down,34,6,2,Verse 1: David Bowie & Freddie Mercury,3,20,3,3,3,"[17, 21, 34]","[('down', 'RB')]",ADV,NEGATIVE,0.9997,Under pressure that burns a building down, under pressure that burns a building down,NEGATIVE,0.9992,-0.9992,1,0.023809523809523808,-0.9997,1,0.009615384615384616,neg_word_neg_line,Under Pressure,Queen & David Bowie,-12.214055061340332,-7.606203556060791
34,34,34,34,34,34,34,34,34,34,34,Splits,Splits,splits,35,7,2,Verse 1: David Bowie & Freddie Mercury,4,21,1,1,1,[35],"[('splits', 'NNS')]",N,NEGATIVE,0.9814,Splits a family in two, splits a family in two,NEGATIVE,0.7692,-0.7692,23,0.5476190476190477,-0.9814,13,0.125,neg_word_neg_line,Under Pressure,Queen & David Bowie,1.1812859773635864,3.426905870437622
35,35,35,35,35,35,35,35,35,35,35,a,a,a,36,7,2,Verse 1: David Bowie & Freddie Mercury,4,22,4,4,4,"[32, 36, 187, 192]","[('a', 'DT')]",DET,POSITIVE,0.9873,Splits a family in two, splits a family in two,NEGATIVE,0.7692,-0.7692,23,0.5476190476190477,0.9873,64,0.6153846153846154,pos_word_neg_line,Under Pressure,Queen & David Bowie,14.46420669555664,-0.8100928068161011
36,36,36,36,36,36,36,36,36,36,36,family,family,family,37,7,2,Verse 1: David Bowie & Freddie Mercury,4,23,1,1,1,[37],"[('family', 'NN')]",N,POSITIVE,0.9993,Splits a family in two, splits a family in two,NEGATIVE,0.7692,-0.7692,23,0.5476190476190477,0.9993,99,0.9519230769230768,pos_word_neg_line,Under Pressure,Queen & David Bowie,-16.00600242614746,-5.806159019470215
37,37,37,37,37,37,37,37,37,37,37,in,in,in,38,7,2,Verse 1: David Bowie & Freddie Mercury,4,24,1,1,1,[38],"[('in', 'IN')]",PREP,POSITIVE,0.979,Splits a family in two, splits a family in two,NEGATIVE,0.7692,-0.7692,23,0.5476190476190477,0.979,56,0.5384615384615384,pos_word_neg_line,Under Pressure,Queen & David Bowie,12.924335479736328,2.908642768859864
38,38,38,38,38,38,38,38,38,38,38,two,two,two,39,7,2,Verse 1: David Bowie & Freddie Mercury,4,25,1,1,1,[39],"[('two', 'CD')]",DET,POSITIVE,0.9899,Splits a family in two, splits a family in two,NEGATIVE,0.7692,-0.7692,23,0.5476190476190477,0.9899,68,0.6538461538461539,pos_word_neg_line,Under Pressure,Queen & David Bowie,19.83869743347168,-10.956737518310547
39,39,39,39,39,39,39,39,39,39,39,Puts,Puts,puts,40,8,2,Verse 1: David Bowie & Freddie Mercury,5,26,1,1,1,[40],"[('puts', 'NNS')]",N,POSITIVE,0.9981,Puts people on streets, puts people on streets,POSITIVE,0.9914,0.9914,34,0.8095238095238095,0.9981,89,0.8557692307692307,pos_word_pos_line,Under Pressure,Queen & David Bowie,-9.356656074523926,4.347799777984618
40,40,40,40,40,40,40,40,40,40,40,people,people,people,41,8,2,Verse 1: David Bowie & Freddie Mercury,5,27,10,10,10,"[41, 85, 86, 132, 140, 177, 178, 274, 277, 286]","[('people', 'NNS')]",N,POSITIVE,0.9852,Puts people on streets, puts people on streets,POSITIVE,0.9914,0.9914,34,0.8095238095238095,0.9852,62,0.5961538461538461,pos_word_pos_line,Under Pressure,Queen & David Bowie,0.6848210096359253,16.38730812072754
41,41,41,41,41,41,41,41,41,41,41,on,on,on,42,8,2,Verse 1: David Bowie & Freddie Mercury,5,28,13,13,13,"[18, 22, 42, 84, 87, 133, 141, 176, 179, 191, 275, 278, 287]","[('on', 'IN')]",PREP,POSITIVE,0.987,Puts people on streets, puts people on streets,POSITIVE,0.9914,0.9914,34,0.8095238095238095,0.987,63,0.6057692307692307,pos_word_pos_line,Under Pressure,Queen & David Bowie,12.668045997619627,3.9341793060302734
42,42,42,42,42,42,42,42,42,42,42,streets,streets,streets,43,8,2,Verse 1: David Bowie & Freddie Mercury,5,29,7,7,7,"[43, 88, 134, 142, 180, 279, 288]","[('streets', 'NNS')]",N,POSITIVE,0.9827,Puts people on streets, puts people on streets,POSITIVE,0.9914,0.9914,34,0.8095238095238095,0.9827,60,0.5769230769230769,pos_word_pos_line,Under Pressure,Queen & David Bowie,5.744052410125732,13.617565155029295
43,43,43,43,43,43,43,43,43,43,43,Um,Um,um,44,9,3,Bridge: Freddie Mercury,1,1,3,3,3,"[44, 48, 127]","[('um', 'NN')]",N,NEGATIVE,0.9149,Um ba ba be, um ba ba be,NEGATIVE,0.9406,-0.9406,19,0.4523809523809524,-0.9149,19,0.18269230769230768,neg_word_neg_line,Under Pressure,Queen & David Bowie,-10.791932106018066,-14.414055824279785
44,44,44,44,44,44,44,44,44,44,44,ba,ba,ba,45,9,3,Bridge: Freddie Mercury,1,2,13,13,13,"[3, 7, 12, 45, 46, 49, 50, 97, 98, 120, 124, 125, 126]","[('ba', 'NN')]",N,POSITIVE,0.9783,Um ba ba be, um ba ba be,NEGATIVE,0.9406,-0.9406,19,0.4523809523809524,0.9783,54,0.5192307692307693,pos_word_neg_line,Under Pressure,Queen & David Bowie,10.90511417388916,-0.2669279873371124
45,45,45,45,45,45,45,45,45,45,45,ba,ba,ba,46,9,3,Bridge: Freddie Mercury,1,3,13,13,13,"[3, 7, 12, 45, 46, 49, 50, 97, 98, 120, 124, 125, 126]","[('ba', 'NN')]",N,POSITIVE,0.9783,Um ba ba be, um ba ba be,NEGATIVE,0.9406,-0.9406,19,0.4523809523809524,0.9783,54,0.5192307692307693,pos_word_neg_line,Under Pressure,Queen & David Bowie,10.90511417388916,-0.2669279873371124
46,46,46,46,46,46,46,46,46,46,46,be,be,be,47,9,3,Bridge: Freddie Mercury,1,4,5,5,5,"[8, 47, 51, 121, 130]","[('be', 'VB')]",V,POSITIVE,0.962,Um ba ba be, um ba ba be,NEGATIVE,0.9406,-0.9406,19,0.4523809523809524,0.962,45,0.4326923076923077,pos_word_neg_line,Under Pressure,Queen & David Bowie,-15.1807861328125,0.7993068695068359
47,47,47,47,47,47,47,47,47,47,47,Um,Um,um,48,10,3,Bridge: Freddie Mercury,2,5,3,3,3,"[44, 48, 127]","[('um', 'NN')]",N,NEGATIVE,0.9149,Um ba ba be, um ba ba be,NEGATIVE,0.9406,-0.9406,19,0.4523809523809524,-0.9149,19,0.18269230769230768,neg_word_neg_line,Under Pressure,Queen & David Bowie,-10.791932106018066,-14.414055824279785
48,48,48,48,48,48,48,48,48,48,48,ba,ba,ba,49,10,3,Bridge: Freddie Mercury,2,6,13,13,13,"[3, 7, 12, 45, 46, 49, 50, 97, 98, 120, 124, 125, 126]","[('ba', 'NN')]",N,POSITIVE,0.9783,Um ba ba be, um ba ba be,NEGATIVE,0.9406,-0.9406,19,0.4523809523809524,0.9783,54,0.5192307692307693,pos_word_neg_line,Under Pressure,Queen & David Bowie,10.90511417388916,-0.2669279873371124
49,49,49,49,49,49,49,49,49,49,49,ba,ba,ba,50,10,3,Bridge: Freddie Mercury,2,7,13,13,13,"[3, 7, 12, 45, 46, 49, 50, 97, 98, 120, 124, 125, 126]","[('ba', 'NN')]",N,POSITIVE,0.9783,Um ba ba be, um ba ba be,NEGATIVE,0.9406,-0.9406,19,0.4523809523809524,0.9783,54,0.5192307692307693,pos_word_neg_line,Under Pressure,Queen & David Bowie,10.90511417388916,-0.2669279873371124
50,50,50,50,50,50,50,50,50,50,50,be,be,be,51,10,3,Bridge: Freddie Mercury,2,8,5,5,5,"[8, 47, 51, 121, 130]","[('be', 'VB')]",V,POSITIVE,0.962,Um ba ba be, um ba ba be,NEGATIVE,0.9406,-0.9406,19,0.4523809523809524,0.962,45,0.4326923076923077,pos_word_neg_line,Under Pressure,Queen & David Bowie,-15.1807861328125,0.7993068695068359
51,51,51,51,51,51,51,51,51,51,51,De,De,de,52,11,3,Bridge: Freddie Mercury,3,9,8,8,8,"[4, 52, 91, 137, 139, 145, 147, 149]","[('de', 'NNS')]",N,POSITIVE,0.73,De day da, de day da,POSITIVE,0.9345,0.9345,29,0.6904761904761905,0.73,29,0.27884615384615385,pos_word_pos_line,Under Pressure,Queen & David Bowie,12.215702056884766,1.8881493806838991
52,52,52,52,52,52,52,52,52,52,52,day,day,day,53,11,3,Bridge: Freddie Mercury,3,10,4,4,4,"[53, 56, 89, 90]","[('day', 'NN')]",N,POSITIVE,0.9957,De day da, de day da,POSITIVE,0.9345,0.9345,29,0.6904761904761905,0.9957,83,0.7980769230769231,pos_word_pos_line,Under Pressure,Queen & David Bowie,-10.344849586486816,11.848655700683596
53,53,53,53,53,53,53,53,53,53,53,da,da,da,54,11,3,Bridge: Freddie Mercury,3,11,12,12,12,"[54, 57, 94, 95, 96, 123, 136, 138, 144, 146, 148, 150]","[('da', 'NN')]",N,NEGATIVE,0.8507,De day da, de day da,POSITIVE,0.9345,0.9345,29,0.6904761904761905,-0.8507,23,0.22115384615384606,neg_word_pos_line,Under Pressure,Queen & David Bowie,11.390032768249512,0.3719569742679596
54,54,54,54,54,54,54,54,54,54,54,Ee,Ee,ee,55,12,3,Bridge: Freddie Mercury,4,12,5,5,5,"[55, 118, 122, 135, 143]","[('ee', 'NN')]",N,POSITIVE,0.9092,Ee day da- that's okay, ee day da that's okay,POSITIVE,0.9998,0.9998,42,1.0,0.9092,35,0.3365384615384616,pos_word_pos_line,Under Pressure,Queen & David Bowie,-11.512928009033205,-13.566582679748535
55,55,55,55,55,55,55,55,55,55,55,day,day,day,56,12,3,Bridge: Freddie Mercury,4,13,4,4,4,"[53, 56, 89, 90]","[('day', 'NN')]",N,POSITIVE,0.9957,Ee day da- that's okay, ee day da that's okay,POSITIVE,0.9998,0.9998,42,1.0,0.9957,83,0.7980769230769231,pos_word_pos_line,Under Pressure,Queen & David Bowie,-10.344849586486816,11.848655700683596
56,56,56,56,56,56,56,56,56,56,56,da-,da,da,57,12,3,Bridge: Freddie Mercury,4,14,12,12,12,"[54, 57, 94, 95, 96, 123, 136, 138, 144, 146, 148, 150]","[('da', 'NN')]",N,NEGATIVE,0.8507,Ee day da- that's okay, ee day da that's okay,POSITIVE,0.9998,0.9998,42,1.0,-0.8507,23,0.22115384615384606,neg_word_pos_line,Under Pressure,Queen & David Bowie,11.390032768249512,0.3719569742679596
57,57,57,57,57,57,57,57,57,57,57,that's,that's,that's,58,12,3,Bridge: Freddie Mercury,4,15,1,1,1,[58],"[('that', 'DT'), (""'s"", 'VBZ')]",MULT,POSITIVE,0.9985,Ee day da- that's okay, ee day da that's okay,POSITIVE,0.9998,0.9998,42,1.0,0.9985,91,0.875,pos_word_pos_line,Under Pressure,Queen & David Bowie,13.932230949401855,-22.819637298583984
58,58,58,58,58,58,58,58,58,58,58,okay,okay,okay,59,12,3,Bridge: Freddie Mercury,4,16,2,2,2,"[59, 99]","[('okay', 'NN')]",N,POSITIVE,0.9998,Ee day da- that's okay, ee day da that's okay,POSITIVE,0.9998,0.9998,42,1.0,0.9998,103,0.9903846153846154,pos_word_pos_line,Under Pressure,Queen & David Bowie,-7.283980369567871,-15.904146194458008
59,59,59,59,59,59,59,59,59,59,59,It's,It's,it's,60,13,4,Chorus: David Bowie & Freddie Mercury,1,1,3,3,3,"[60, 151, 204]","[('it', 'PRP'), (""'s"", 'VBZ')]",MULT,POSITIVE,0.9988,It's the terror of knowing what this world is about, it's the terror of knowing what this world is about,NEGATIVE,0.8637,-0.8637,21,0.5,0.9988,94,0.9038461538461541,pos_word_neg_line,Under Pressure,Queen & David Bowie,14.261357307434082,-22.57988929748535
