,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,line_original,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,positivity_bar_chart,song_name,artist_name,tsne_x_combined,tsne_y_combined
10,one,one,one,11,2,1,Intro,2,11,3,3,3,"[11, 61, 255]","[('one', 'CD')]",DET,POSITIVE,0.9883,There is just one thing I need, there is just one thing I need,NEGATIVE,0.9585,-0.9585,9,0.25,0.9883,44,0.5176470588235295,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,6.036282539367676,-9.787487030029297
11,thing,thing,thing,12,2,1,Intro,2,12,2,2,2,"[12, 62]","[('thing', 'NN')]",N,POSITIVE,0.9887,There is just one thing I need, there is just one thing I need,NEGATIVE,0.9585,-0.9585,9,0.25,0.9887,45,0.5294117647058824,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,2.23909068107605,-2.050694227218628
12,I,I,I,13,2,1,Intro,2,13,33,27,26,"[1, 13, 15, 25, 44, 51, 63, 66, 76, 100, 121, 130, 137, 144, 154, 170, 182, 199, 204, 242, 256, 271, 285, 297, 320, 329, 338, 350, 359, 367, 373, 381, 384]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,There is just one thing I need, there is just one thing I need,NEGATIVE,0.9585,-0.9585,9,0.25,0.9797,36,0.4235294117647059,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,3.4980101585388184,-2.9368908405303955
13,need,need,need,14,2,1,Intro,2,14,4,4,4,"[14, 64, 78, 258]","[('need', 'NN')]",N,NEGATIVE,0.5299,There is just one thing I need, there is just one thing I need,NEGATIVE,0.9585,-0.9585,9,0.25,-0.5299,9,0.10588235294117647,neg_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-4.826800346374512,3.178907632827759
14,I,I,I,15,3,1,Intro,3,15,33,27,26,"[1, 13, 15, 25, 44, 51, 63, 66, 76, 100, 121, 130, 137, 144, 154, 170, 182, 199, 204, 242, 256, 271, 285, 297, 320, 329, 338, 350, 359, 367, 373, 381, 384]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,I don't care about the presents, I don't care about the presents,NEGATIVE,0.9997,-0.9997,1,0.027777777777777776,0.9797,36,0.4235294117647059,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,3.4980101585388184,-2.9368908405303955
15,don't,don't,don't,16,3,1,Intro,3,16,6,6,6,"[2, 16, 52, 67, 77, 272]","[('do', 'VBP'), (""n't"", 'RB')]",MULT,NEGATIVE,0.9883,I don't care about the presents, I don't care about the presents,NEGATIVE,0.9997,-0.9997,1,0.027777777777777776,-0.9883,2,0.023529411764705882,neg_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-3.976262331008911,11.79769229888916
16,care,care,care,17,3,1,Intro,3,17,2,2,2,"[17, 68]","[('care', 'NN')]",N,POSITIVE,0.999,I don't care about the presents, I don't care about the presents,NEGATIVE,0.9997,-0.9997,1,0.027777777777777776,0.999,77,0.9058823529411765,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-6.344605445861816,2.854513645172119
17,about,about,about,18,3,1,Intro,3,18,2,2,2,"[18, 69]","[('about', 'IN')]",PREP,POSITIVE,0.9686,I don't care about the presents, I don't care about the presents,NEGATIVE,0.9997,-0.9997,1,0.027777777777777776,0.9686,27,0.3176470588235294,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,3.9061543941497803,-7.763644218444824
18,the,the,the,19,3,1,Intro,3,19,11,11,11,"[19, 22, 70, 73, 85, 152, 163, 214, 225, 231, 254]","[('the', 'DT')]",DET,POSITIVE,0.9636,I don't care about the presents, I don't care about the presents,NEGATIVE,0.9997,-0.9997,1,0.027777777777777776,0.9636,25,0.29411764705882354,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,2.0489437580108643,-5.335299968719482
19,presents,presents,presents,20,3,1,Intro,3,20,2,2,2,"[20, 71]","[('presents', 'NNS')]",N,POSITIVE,0.9998,I don't care about the presents, I don't care about the presents,NEGATIVE,0.9997,-0.9997,1,0.027777777777777776,0.9998,84,0.9882352941176471,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,0.19247843325138092,-6.240381717681885
20,Underneath,Underneath,underneath,21,4,1,Intro,4,21,3,3,3,"[21, 72, 151]","[('underneath', 'NN')]",N,POSITIVE,0.8644,Underneath the Christmas tree, underneath the christmas tree,POSITIVE,0.983,0.983,19,0.5277777777777778,0.8644,18,0.21176470588235294,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,2.015087366104126,-3.664314031600952
21,the,the,the,22,4,1,Intro,4,22,11,11,11,"[19, 22, 70, 73, 85, 152, 163, 214, 225, 231, 254]","[('the', 'DT')]",DET,POSITIVE,0.9636,Underneath the Christmas tree, underneath the christmas tree,POSITIVE,0.983,0.983,19,0.5277777777777778,0.9636,25,0.29411764705882354,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,2.0489437580108643,-5.335299968719482
22,Christmas,Christmas,christmas,23,4,1,Intro,4,23,16,13,13,"[7, 23, 47, 57, 74, 98, 124, 136, 207, 277, 323, 332, 341, 353, 362, 376]","[('christmas', 'NN')]",N,POSITIVE,0.9993,Underneath the Christmas tree, underneath the christmas tree,POSITIVE,0.983,0.983,19,0.5277777777777778,0.9993,80,0.9411764705882353,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-8.733607292175293,-5.057106971740723
23,tree,tree,tree,24,4,1,Intro,4,24,2,2,2,"[24, 75]","[('tree', 'NN')]",N,POSITIVE,0.9976,Underneath the Christmas tree, underneath the christmas tree,POSITIVE,0.983,0.983,19,0.5277777777777778,0.9976,66,0.7764705882352941,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-5.52816915512085,-5.159391403198242
24,I,I,I,25,5,1,Intro,5,25,33,27,26,"[1, 13, 15, 25, 44, 51, 63, 66, 76, 100, 121, 130, 137, 144, 154, 170, 182, 199, 204, 242, 256, 271, 285, 297, 320, 329, 338, 350, 359, 367, 373, 381, 384]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,I just want you for my own, I just want you for my own,POSITIVE,0.9994,0.9994,33,0.9166666666666666,0.9797,36,0.4235294117647059,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,3.4980101585388184,-2.9368908405303955
25,just,just,just,26,5,1,Intro,5,26,8,5,5,"[10, 26, 60, 101, 146, 183, 286, 298]","[('just', 'RB')]",ADV,POSITIVE,0.8226,I just want you for my own, I just want you for my own,POSITIVE,0.9994,0.9994,33,0.9166666666666666,0.8226,16,0.18823529411764706,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,5.636667251586914,1.2784091234207153
26,want,want,want,27,5,1,Intro,5,27,19,13,13,"[3, 27, 45, 53, 102, 122, 184, 205, 273, 299, 321, 330, 339, 351, 360, 369, 374, 382, 386]","[('want', 'NN')]",N,POSITIVE,0.987,I just want you for my own, I just want you for my own,POSITIVE,0.9994,0.9994,33,0.9166666666666666,0.987,42,0.49411764705882355,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-4.747140407562256,3.3684213161468506
27,you,you,you,28,5,1,Intro,5,28,24,14,14,"[28, 34, 49, 103, 110, 126, 127, 185, 209, 210, 251, 263, 300, 307, 325, 326, 334, 336, 343, 355, 357, 364, 378, 388]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,I just want you for my own, I just want you for my own,POSITIVE,0.9994,0.9994,33,0.9166666666666666,0.9991,78,0.9176470588235294,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-2.6561949253082275,-1.8547890186309814
28,for,for,for,29,5,1,Intro,5,29,19,14,14,"[6, 29, 46, 56, 104, 123, 133, 141, 166, 206, 276, 283, 301, 322, 331, 340, 352, 361, 375]","[('for', 'IN')]",PREP,POSITIVE,0.9701,I just want you for my own, I just want you for my own,POSITIVE,0.9994,0.9994,33,0.9166666666666666,0.9701,28,0.32941176470588235,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,6.148812294006348,-6.937467098236084
29,my,my,my,30,5,1,Intro,5,30,10,6,6,"[30, 39, 81, 105, 116, 266, 289, 294, 302, 313]","[('my', 'PRP$')]",PRON,POSITIVE,0.9935,I just want you for my own, I just want you for my own,POSITIVE,0.9994,0.9994,33,0.9166666666666666,0.9935,54,0.6352941176470588,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-0.6082924008369446,-1.6376217603683472
30,own,own,own,31,5,1,Intro,5,31,3,1,1,"[31, 106, 303]","[('own', 'JJ')]",ADJ,POSITIVE,0.9987,I just want you for my own, I just want you for my own,POSITIVE,0.9994,0.9994,33,0.9166666666666666,0.9987,74,0.8705882352941177,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-0.600689172744751,-3.6044297218322754
31,More,More,more,32,6,1,Intro,6,32,4,1,1,"[32, 108, 197, 305]","[('more', 'RBR')]",ADV,POSITIVE,0.9969,More than you could ever know, more than you could ever know,POSITIVE,0.9993,0.9993,32,0.8888888888888888,0.9969,62,0.7294117647058823,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,7.5440754890441895,-3.1893484592437744
32,than,than,than,33,6,1,Intro,6,33,3,1,1,"[33, 109, 306]","[('than', 'IN')]",PREP,POSITIVE,0.9804,More than you could ever know, more than you could ever know,POSITIVE,0.9993,0.9993,32,0.8888888888888888,0.9804,37,0.43529411764705883,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-10.533031463623047,2.2100679874420166
33,you,you,you,34,6,1,Intro,6,34,24,14,14,"[28, 34, 49, 103, 110, 126, 127, 185, 209, 210, 251, 263, 300, 307, 325, 326, 334, 336, 343, 355, 357, 364, 378, 388]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,More than you could ever know, more than you could ever know,POSITIVE,0.9993,0.9993,32,0.8888888888888888,0.9991,78,0.9176470588235294,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-2.6561949253082275,-1.8547890186309814
34,could,could,could,35,6,1,Intro,6,35,3,1,1,"[35, 111, 308]","[('could', 'MD')]",V,POSITIVE,0.8509,More than you could ever know, more than you could ever know,POSITIVE,0.9993,0.9993,32,0.8888888888888888,0.8509,17,0.2,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,1.3069301843643188,10.398226737976074
35,ever,ever,ever,36,6,1,Intro,6,36,3,1,1,"[36, 112, 309]","[('ever', 'RB')]",ADV,POSITIVE,0.997,More than you could ever know, more than you could ever know,POSITIVE,0.9993,0.9993,32,0.8888888888888888,0.997,63,0.7411764705882353,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,7.0739359855651855,-0.9631338119506836
36,know,know,know,37,6,1,Intro,6,37,3,1,1,"[37, 113, 310]","[('know', 'VB')]",V,POSITIVE,0.9948,More than you could ever know, more than you could ever know,POSITIVE,0.9993,0.9993,32,0.8888888888888888,0.9948,58,0.6823529411764706,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,0.7088367342948914,-11.155006408691406
37,Make,Make,make,38,7,1,Intro,7,38,5,3,3,"[38, 91, 115, 156, 312]","[('make', 'VB')]",V,POSITIVE,0.9996,Make my wish come true, make my wish come true,POSITIVE,0.9935,0.9935,24,0.6666666666666666,0.9996,82,0.9647058823529412,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-4.343700408935547,7.995072364807129
38,my,my,my,39,7,1,Intro,7,39,10,6,6,"[30, 39, 81, 105, 116, 266, 289, 294, 302, 313]","[('my', 'PRP$')]",PRON,POSITIVE,0.9935,Make my wish come true, make my wish come true,POSITIVE,0.9935,0.9935,24,0.6666666666666666,0.9935,54,0.6352941176470588,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-0.6082924008369446,-1.6376217603683472
39,wish,wish,wish,40,7,1,Intro,7,40,4,2,2,"[40, 117, 140, 314]","[('wish', 'NN')]",N,POSITIVE,0.9715,Make my wish come true, make my wish come true,POSITIVE,0.9935,0.9935,24,0.6666666666666666,0.9715,31,0.36470588235294116,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-5.734954357147217,3.4373152256011963
40,come,come,come,41,7,1,Intro,7,41,3,1,1,"[41, 118, 315]","[('come', 'VB')]",V,POSITIVE,0.9984,Make my wish come true, make my wish come true,POSITIVE,0.9935,0.9935,24,0.6666666666666666,0.9984,72,0.8470588235294118,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-5.6230034828186035,6.7775654792785645
41,true,true,true,42,7,1,Intro,7,42,3,1,1,"[42, 119, 316]","[('true', 'JJ')]",ADJ,POSITIVE,0.9999,Make my wish come true, make my wish come true,POSITIVE,0.9935,0.9935,24,0.6666666666666666,0.9999,85,1.0,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,4.494419574737549,3.0732946395874023
42,All,All,all,43,8,1,Intro,8,43,14,11,11,"[43, 120, 203, 213, 280, 319, 328, 337, 349, 358, 366, 372, 380, 383]","[('all', 'DT')]",DET,POSITIVE,0.9903,"All I want for Christmas is you, yeah", all I want for christmas is you yeah,POSITIVE,0.9992,0.9992,31,0.8611111111111112,0.9903,47,0.5529411764705883,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,5.911248683929443,-0.37395790219306946
43,I,I,I,44,8,1,Intro,8,44,33,27,26,"[1, 13, 15, 25, 44, 51, 63, 66, 76, 100, 121, 130, 137, 144, 154, 170, 182, 199, 204, 242, 256, 271, 285, 297, 320, 329, 338, 350, 359, 367, 373, 381, 384]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,"All I want for Christmas is you, yeah", all I want for christmas is you yeah,POSITIVE,0.9992,0.9992,31,0.8611111111111112,0.9797,36,0.4235294117647059,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,3.4980101585388184,-2.9368908405303955
44,want,want,want,45,8,1,Intro,8,45,19,13,13,"[3, 27, 45, 53, 102, 122, 184, 205, 273, 299, 321, 330, 339, 351, 360, 369, 374, 382, 386]","[('want', 'NN')]",N,POSITIVE,0.987,"All I want for Christmas is you, yeah", all I want for christmas is you yeah,POSITIVE,0.9992,0.9992,31,0.8611111111111112,0.987,42,0.49411764705882355,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-4.747140407562256,3.3684213161468506
45,for,for,for,46,8,1,Intro,8,46,19,14,14,"[6, 29, 46, 56, 104, 123, 133, 141, 166, 206, 276, 283, 301, 322, 331, 340, 352, 361, 375]","[('for', 'IN')]",PREP,POSITIVE,0.9701,"All I want for Christmas is you, yeah", all I want for christmas is you yeah,POSITIVE,0.9992,0.9992,31,0.8611111111111112,0.9701,28,0.32941176470588235,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,6.148812294006348,-6.937467098236084
46,Christmas,Christmas,christmas,47,8,1,Intro,8,47,16,13,13,"[7, 23, 47, 57, 74, 98, 124, 136, 207, 277, 323, 332, 341, 353, 362, 376]","[('christmas', 'NN')]",N,POSITIVE,0.9993,"All I want for Christmas is you, yeah", all I want for christmas is you yeah,POSITIVE,0.9992,0.9992,31,0.8611111111111112,0.9993,80,0.9411764705882353,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-8.733607292175293,-5.057106971740723
47,is,is,is,48,8,1,Intro,8,48,14,11,11,"[9, 48, 59, 125, 208, 238, 279, 324, 333, 342, 354, 363, 377, 387]","[('is', 'VBZ')]",V,POSITIVE,0.9275,"All I want for Christmas is you, yeah", all I want for christmas is you yeah,POSITIVE,0.9992,0.9992,31,0.8611111111111112,0.9275,23,0.27058823529411763,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,3.536557912826538,-11.414331436157227
48,"you,",you,you,49,8,1,Intro,8,49,24,14,14,"[28, 34, 49, 103, 110, 126, 127, 185, 209, 210, 251, 263, 300, 307, 325, 326, 334, 336, 343, 355, 357, 364, 378, 388]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,"All I want for Christmas is you, yeah", all I want for christmas is you yeah,POSITIVE,0.9992,0.9992,31,0.8611111111111112,0.9991,78,0.9176470588235294,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-2.6561949253082275,-1.8547890186309814
49,yeah,yeah,yeah,50,8,1,Intro,8,50,4,4,4,"[50, 235, 241, 259]","[('yeah', 'NN')]",N,POSITIVE,0.9993,"All I want for Christmas is you, yeah", all I want for christmas is you yeah,POSITIVE,0.9992,0.9992,31,0.8611111111111112,0.9993,80,0.9411764705882353,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,3.4248170852661133,4.6000075340271
50,I,I,I,51,9,2,Verse 1,1,1,33,27,26,"[1, 13, 15, 25, 44, 51, 63, 66, 76, 100, 121, 130, 137, 144, 154, 170, 182, 199, 204, 242, 256, 271, 285, 297, 320, 329, 338, 350, 359, 367, 373, 381, 384]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,I don't want a lot for Christmas, I don't want a lot for christmas,NEGATIVE,0.9975,-0.9975,4,0.1111111111111111,0.9797,36,0.4235294117647059,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,3.4980101585388184,-2.9368908405303955
51,don't,don't,don't,52,9,2,Verse 1,1,2,6,6,6,"[2, 16, 52, 67, 77, 272]","[('do', 'VBP'), (""n't"", 'RB')]",MULT,NEGATIVE,0.9883,I don't want a lot for Christmas, I don't want a lot for christmas,NEGATIVE,0.9975,-0.9975,4,0.1111111111111111,-0.9883,2,0.023529411764705882,neg_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-3.976262331008911,11.79769229888916
52,want,want,want,53,9,2,Verse 1,1,3,19,13,13,"[3, 27, 45, 53, 102, 122, 184, 205, 273, 299, 321, 330, 339, 351, 360, 369, 374, 382, 386]","[('want', 'NN')]",N,POSITIVE,0.987,I don't want a lot for Christmas, I don't want a lot for christmas,NEGATIVE,0.9975,-0.9975,4,0.1111111111111111,0.987,42,0.49411764705882355,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-4.747140407562256,3.3684213161468506
53,a,a,a,54,9,2,Verse 1,1,4,5,5,5,"[4, 54, 95, 157, 274]","[('a', 'DT')]",DET,POSITIVE,0.9873,I don't want a lot for Christmas, I don't want a lot for christmas,NEGATIVE,0.9975,-0.9975,4,0.1111111111111111,0.9873,43,0.5058823529411764,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,5.8534393310546875,-9.708706855773926
54,lot,lot,lot,55,9,2,Verse 1,1,5,3,3,3,"[5, 55, 275]","[('lot', 'NN')]",N,POSITIVE,0.9982,I don't want a lot for Christmas, I don't want a lot for christmas,NEGATIVE,0.9975,-0.9975,4,0.1111111111111111,0.9982,70,0.8235294117647058,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,0.7147326469421387,-1.2963979244232178
55,for,for,for,56,9,2,Verse 1,1,6,19,14,14,"[6, 29, 46, 56, 104, 123, 133, 141, 166, 206, 276, 283, 301, 322, 331, 340, 352, 361, 375]","[('for', 'IN')]",PREP,POSITIVE,0.9701,I don't want a lot for Christmas, I don't want a lot for christmas,NEGATIVE,0.9975,-0.9975,4,0.1111111111111111,0.9701,28,0.32941176470588235,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,6.148812294006348,-6.937467098236084
56,Christmas,Christmas,christmas,57,9,2,Verse 1,1,7,16,13,13,"[7, 23, 47, 57, 74, 98, 124, 136, 207, 277, 323, 332, 341, 353, 362, 376]","[('christmas', 'NN')]",N,POSITIVE,0.9993,I don't want a lot for Christmas, I don't want a lot for christmas,NEGATIVE,0.9975,-0.9975,4,0.1111111111111111,0.9993,80,0.9411764705882353,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-8.733607292175293,-5.057106971740723
57,There,There,there,58,10,2,Verse 1,2,8,3,3,3,"[8, 58, 83]","[('there', 'RB')]",ADV,POSITIVE,0.9937,There is just one thing I need (And I), there is just one thing I need and I,POSITIVE,0.5869,0.5869,15,0.4166666666666667,0.9937,55,0.6470588235294118,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,2.132260799407959,3.4673805236816406
58,is,is,is,59,10,2,Verse 1,2,9,14,11,11,"[9, 48, 59, 125, 208, 238, 279, 324, 333, 342, 354, 363, 377, 387]","[('is', 'VBZ')]",V,POSITIVE,0.9275,There is just one thing I need (And I), there is just one thing I need and I,POSITIVE,0.5869,0.5869,15,0.4166666666666667,0.9275,23,0.27058823529411763,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,3.536557912826538,-11.414331436157227
59,just,just,just,60,10,2,Verse 1,2,10,8,5,5,"[10, 26, 60, 101, 146, 183, 286, 298]","[('just', 'RB')]",ADV,POSITIVE,0.8226,There is just one thing I need (And I), there is just one thing I need and I,POSITIVE,0.5869,0.5869,15,0.4166666666666667,0.8226,16,0.18823529411764706,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,5.636667251586914,1.2784091234207153
60,one,one,one,61,10,2,Verse 1,2,11,3,3,3,"[11, 61, 255]","[('one', 'CD')]",DET,POSITIVE,0.9883,There is just one thing I need (And I), there is just one thing I need and I,POSITIVE,0.5869,0.5869,15,0.4166666666666667,0.9883,44,0.5176470588235295,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,6.036282539367676,-9.787487030029297
61,thing,thing,thing,62,10,2,Verse 1,2,12,2,2,2,"[12, 62]","[('thing', 'NN')]",N,POSITIVE,0.9887,There is just one thing I need (And I), there is just one thing I need and I,POSITIVE,0.5869,0.5869,15,0.4166666666666667,0.9887,45,0.5294117647058824,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,2.23909068107605,-2.050694227218628
62,I,I,I,63,10,2,Verse 1,2,13,33,27,26,"[1, 13, 15, 25, 44, 51, 63, 66, 76, 100, 121, 130, 137, 144, 154, 170, 182, 199, 204, 242, 256, 271, 285, 297, 320, 329, 338, 350, 359, 367, 373, 381, 384]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,There is just one thing I need (And I), there is just one thing I need and I,POSITIVE,0.5869,0.5869,15,0.4166666666666667,0.9797,36,0.4235294117647059,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,3.4980101585388184,-2.9368908405303955
63,need,need,need,64,10,2,Verse 1,2,14,4,4,4,"[14, 64, 78, 258]","[('need', 'NN')]",N,NEGATIVE,0.5299,There is just one thing I need (And I), there is just one thing I need and I,POSITIVE,0.5869,0.5869,15,0.4166666666666667,-0.5299,9,0.10588235294117647,neg_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-4.826800346374512,3.178907632827759
64,(And,And,and,65,10,2,Verse 1,2,15,5,5,5,"[65, 143, 159, 224, 236]","[('and', 'CC')]",CONJ,POSITIVE,0.9708,There is just one thing I need (And I), there is just one thing I need and I,POSITIVE,0.5869,0.5869,15,0.4166666666666667,0.9708,30,0.35294117647058826,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,4.267705917358398,-6.3528547286987305
