,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,line_original,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,tsne_x,tsne_y
29,the,the,the,30,4,2,Chorus,3,22,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9636,84,0.4772727272727273,3.8728237,-16.147871
30,two,two,two,31,4,2,Chorus,3,23,20,0,0,"[11, 16, 21, 26, 31, 178, 190, 195, 200, 210, 398, 410, 415, 420, 430, 606, 618, 623, 628, 638]","[('two', 'CD')]",DET,POSITIVE,0.9899,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9899,119,0.6761363636363636,-36.707703,-9.775085
31,of,of,of,32,4,2,Chorus,3,24,21,1,1,"[12, 17, 22, 27, 32, 179, 191, 196, 201, 211, 312, 399, 411, 416, 421, 431, 607, 619, 624, 629, 639]","[('of', 'IN')]",PREP,POSITIVE,0.9193,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9193,67,0.3806818181818182,7.1631503,-29.048073
32,us),us,us,33,4,2,Chorus,3,25,20,0,0,"[13, 18, 23, 28, 33, 180, 192, 197, 202, 212, 400, 412, 417, 422, 432, 608, 620, 625, 630, 640]","[('us', 'PRP')]",PRON,POSITIVE,0.999,Just the two of us (just the two of us), just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.999,167,0.9488636363636364,19.363028,18.659077
33,From,From,from,34,5,3,Verse 1: Will Smith,1,1,3,3,3,"[34, 75, 526]","[('from', 'IN')]",PREP,POSITIVE,0.7563,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.7563,53,0.30113636363636365,8.956475,-20.322136
34,the,the,the,35,5,3,Verse 1: Will Smith,1,2,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9636,84,0.4772727272727273,3.7172134,-15.575905
35,first,first,first,36,5,3,Verse 1: Will Smith,1,3,2,2,2,"[36, 79]","[('first', 'RB')]",ADV,POSITIVE,0.9978,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9978,156,0.8863636363636364,-18.247513,0.7523724
36,time,time,time,37,5,3,Verse 1: Will Smith,1,4,2,2,2,"[37, 273]","[('time', 'NN')]",N,POSITIVE,0.9581,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9581,82,0.4659090909090909,7.654899,-2.7911384
37,the,the,the,38,5,3,Verse 1: Will Smith,1,5,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9636,84,0.4772727272727273,3.9177506,-16.731106
38,doctor,doctor,doctor,39,5,3,Verse 1: Will Smith,1,6,2,2,2,"[39, 262]","[('doctor', 'NN')]",N,POSITIVE,0.9869,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9869,112,0.6363636363636364,17.967667,3.498476
39,placed,placed,placed,40,5,3,Verse 1: Will Smith,1,7,2,2,2,"[40, 104]","[('placed', 'VBN')]",V,POSITIVE,0.9978,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9978,156,0.8863636363636364,13.442428,-10.087201
40,you,you,you,41,5,3,Verse 1: Will Smith,1,8,30,27,27,"[41, 53, 101, 105, 142, 175, 213, 225, 245, 256, 270, 281, 289, 300, 319, 328, 342, 346, 351, 374, 385, 433, 445, 547, 550, 553, 570, 598, 603, 641]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9991,168,0.9545454545454546,7.164343,35.17535
41,in,in,in,42,5,3,Verse 1: Will Smith,1,9,11,8,8,"[42, 59, 90, 106, 205, 357, 377, 425, 505, 565, 633]","[('in', 'IN')]",PREP,POSITIVE,0.979,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.979,97,0.5511363636363636,13.033906,-21.458492
42,my,my,my,43,5,3,Verse 1: Will Smith,1,10,9,9,9,"[43, 60, 122, 134, 149, 172, 313, 478, 508]","[('my', 'PRP$')]",PRON,POSITIVE,0.9935,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9935,132,0.75,1.477175,11.642692
43,arms,arms,arms,44,5,3,Verse 1: Will Smith,1,11,1,1,1,[44],"[('arms', 'NNS')]",N,POSITIVE,0.9996,From the first time the doctor placed you in my arms, from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9996,173,0.9829545454545454,8.994886,2.4323921
44,I,I,I,45,6,3,Verse 1: Will Smith,2,12,30,27,27,"[45, 63, 111, 116, 119, 127, 138, 140, 152, 170, 215, 222, 226, 253, 267, 275, 292, 308, 316, 320, 325, 338, 392, 435, 452, 454, 475, 596, 643, 653]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9797,98,0.5568181818181818,-8.322783,23.681007
45,knew,knew,knew,46,6,3,Verse 1: Will Smith,2,13,1,1,1,[46],"[('knew', 'NNS')]",N,POSITIVE,0.996,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.996,144,0.8181818181818182,-5.8252745,-5.4437695
46,I'd,I'd,I'd,47,6,3,Verse 1: Will Smith,2,14,2,2,2,"[47, 51]","[('I', 'PRP'), (""'d"", 'MD')]",MULT,POSITIVE,0.9956,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9956,142,0.8068181818181818,-14.17642,18.113205
47,meet,meet,meet,48,6,3,Verse 1: Will Smith,2,15,2,2,2,"[48, 54]","[('meet', 'NN')]",N,POSITIVE,0.9994,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9994,171,0.9715909090909091,-3.6554763,-0.9608634
48,death,death,death,49,6,3,Verse 1: Will Smith,2,16,1,1,1,[49],"[('death', 'NN')]",N,NEGATIVE,0.9997,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,-0.9997,1,0.005681818181818182,10.719177,7.3060946
49,before,before,before,50,6,3,Verse 1: Will Smith,2,17,1,1,1,[50],"[('before', 'IN')]",PREP,POSITIVE,0.8023,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.8023,57,0.32386363636363635,-10.928489,-2.1650133
50,I'd,I'd,I'd,51,6,3,Verse 1: Will Smith,2,18,2,2,2,"[47, 51]","[('I', 'PRP'), (""'d"", 'MD')]",MULT,POSITIVE,0.9956,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9956,142,0.8068181818181818,-14.176619,18.113659
51,let,let,let,52,6,3,Verse 1: Will Smith,2,19,3,3,3,"[52, 157, 555]","[('let', 'VB')]",V,NEGATIVE,0.7554,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,-0.7554,45,0.2556818181818182,-0.33550027,-10.821721
52,you,you,you,53,6,3,Verse 1: Will Smith,2,20,30,27,27,"[41, 53, 101, 105, 142, 175, 213, 225, 245, 256, 270, 281, 289, 300, 319, 328, 342, 346, 351, 374, 385, 433, 445, 547, 550, 553, 570, 598, 603, 641]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9991,168,0.9545454545454546,7.9057045,34.507797
53,meet,meet,meet,54,6,3,Verse 1: Will Smith,2,21,2,2,2,"[48, 54]","[('meet', 'NN')]",N,POSITIVE,0.9994,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9994,171,0.9715909090909091,-3.65547,-0.9611145
54,harm,harm,harm,55,6,3,Verse 1: Will Smith,2,22,1,1,1,[55],"[('harm', 'NN')]",N,NEGATIVE,0.9997,I knew I'd meet death before I'd let you meet harm, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,-0.9997,1,0.005681818181818182,1.9587691,-9.143426
55,Although,Although,although,56,7,3,Verse 1: Will Smith,3,23,1,1,1,[56],"[('although', 'IN')]",PREP,NEGATIVE,0.8668,"Although questions arose in my mind, would I be man enough", although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,-0.8668,43,0.24431818181818182,4.2459226,-21.37279
56,questions,questions,questions,57,7,3,Verse 1: Will Smith,3,24,1,1,1,[57],"[('questions', 'NNS')]",N,NEGATIVE,0.859,"Although questions arose in my mind, would I be man enough", although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,-0.859,44,0.25,10.1796465,0.028004518
57,arose,arose,arose,58,7,3,Verse 1: Will Smith,3,25,1,1,1,[58],"[('arose', 'NN')]",N,POSITIVE,0.9921,"Although questions arose in my mind, would I be man enough", although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,0.9921,124,0.7045454545454546,2.22459,-10.362497
58,in,in,in,59,7,3,Verse 1: Will Smith,3,26,11,8,8,"[42, 59, 90, 106, 205, 357, 377, 425, 505, 565, 633]","[('in', 'IN')]",PREP,POSITIVE,0.979,"Although questions arose in my mind, would I be man enough", although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,0.979,97,0.5511363636363636,12.5587225,-21.261604
59,my,my,my,60,7,3,Verse 1: Will Smith,3,27,9,9,9,"[43, 60, 122, 134, 149, 172, 313, 478, 508]","[('my', 'PRP$')]",PRON,POSITIVE,0.9935,"Although questions arose in my mind, would I be man enough", although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,0.9935,132,0.75,1.386256,11.0619135
60,"mind,",mind,mind,61,7,3,Verse 1: Will Smith,3,28,2,2,2,"[61, 340]","[('mind', 'NN')]",N,POSITIVE,0.9984,"Although questions arose in my mind, would I be man enough", although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,0.9984,162,0.9204545454545454,12.582097,4.469587
61,would,would,would,62,7,3,Verse 1: Will Smith,3,29,1,1,1,[62],"[('would', 'MD')]",V,POSITIVE,0.8556,"Although questions arose in my mind, would I be man enough", although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,0.8556,60,0.3409090909090909,-12.077449,-7.533404
62,I,I,I,63,7,3,Verse 1: Will Smith,3,30,30,27,27,"[45, 63, 111, 116, 119, 127, 138, 140, 152, 170, 215, 222, 226, 253, 267, 275, 292, 308, 316, 320, 325, 338, 392, 435, 452, 454, 475, 596, 643, 653]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,"Although questions arose in my mind, would I be man enough", although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,0.9797,98,0.5568181818181818,-8.088637,21.464558
63,be,be,be,64,7,3,Verse 1: Will Smith,3,31,10,10,10,"[64, 72, 159, 239, 258, 295, 301, 331, 441, 492]","[('be', 'VB')]",V,POSITIVE,0.962,"Although questions arose in my mind, would I be man enough", although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,0.962,83,0.4715909090909091,8.080889,-7.7632546
64,man,man,man,65,7,3,Verse 1: Will Smith,3,32,3,3,3,"[65, 228, 333]","[('man', 'NN')]",N,POSITIVE,0.8134,"Although questions arose in my mind, would I be man enough", although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,0.8134,58,0.32954545454545453,0.73469716,7.663199
65,enough,enough,enough,66,7,3,Verse 1: Will Smith,3,33,1,1,1,[66],"[('enough', 'RB')]",ADV,POSITIVE,0.7941,"Although questions arose in my mind, would I be man enough", although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,0.7941,56,0.3181818181818182,-13.065175,9.522564
66,Against,Against,against,67,8,3,Verse 1: Will Smith,4,34,1,1,1,[67],"[('against', 'IN')]",PREP,NEGATIVE,0.95,"Against wrong, choose right and be standing up?", against wrong choose right and be standing up,POSITIVE,0.9954,0.9954,36,0.6923076923076923,-0.95,35,0.19886363636363635,-15.714495,-23.738804
67,"wrong,",wrong,wrong,68,8,3,Verse 1: Will Smith,4,35,1,1,1,[68],"[('wrong', 'JJ')]",ADJ,NEGATIVE,0.9997,"Against wrong, choose right and be standing up?", against wrong choose right and be standing up,POSITIVE,0.9954,0.9954,36,0.6923076923076923,-0.9997,1,0.005681818181818182,-1.6937951,8.995806
68,choose,choose,choose,69,8,3,Verse 1: Will Smith,4,36,1,1,1,[69],"[('choose', 'NN')]",N,POSITIVE,0.9872,"Against wrong, choose right and be standing up?", against wrong choose right and be standing up,POSITIVE,0.9954,0.9954,36,0.6923076923076923,0.9872,114,0.6477272727272727,1.5927385,-2.7191684
69,right,right,right,70,8,3,Verse 1: Will Smith,4,37,2,2,2,"[70, 91]","[('right', 'NN')]",N,POSITIVE,0.9998,"Against wrong, choose right and be standing up?", against wrong choose right and be standing up,POSITIVE,0.9954,0.9954,36,0.6923076923076923,0.9998,175,0.9943181818181818,-2.5363548,9.100988
70,and,and,and,71,8,3,Verse 1: Will Smith,4,38,14,11,11,"[71, 151, 214, 236, 250, 337, 350, 365, 384, 434, 520, 551, 599, 642]","[('and', 'CC')]",CONJ,POSITIVE,0.9708,"Against wrong, choose right and be standing up?", against wrong choose right and be standing up,POSITIVE,0.9954,0.9954,36,0.6923076923076923,0.9708,92,0.5227272727272727,1.2897924,-35.242382
71,be,be,be,72,8,3,Verse 1: Will Smith,4,39,10,10,10,"[64, 72, 159, 239, 258, 295, 301, 331, 441, 492]","[('be', 'VB')]",V,POSITIVE,0.962,"Against wrong, choose right and be standing up?", against wrong choose right and be standing up,POSITIVE,0.9954,0.9954,36,0.6923076923076923,0.962,83,0.4715909090909091,7.78404,-8.342421
