,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,m_w_definition,m_w_synonyms,m_w_synonyms_in_data,m_w_antonyms,m_w_antonyms_in_data,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,tsne_x,tsne_y
14,the,the,the,15,3,2,Chorus,2,7,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,"['—used as a function word to indicate that a following noun or noun equivalent is definite or has been previously specified by context or by circumstance', '—used as a function word to indicate that a following noun or noun equivalent is a unique or a particular member of its class', '—used as a function word before nouns that designate natural phenomena or points of the compass']","[['beer and skittles', 'easy street', 'fun and games', 'hog heaven', 'picnic']]",[],[],[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9636,84,0.4772727272727273,7.5661907,-13.41237
15,two,two,two,16,3,2,Chorus,2,8,20,0,0,"[11, 16, 21, 26, 31, 178, 190, 195, 200, 210, 398, 410, 415, 420, 430, 606, 618, 623, 628, 638]","[('two', 'CD')]",DET,POSITIVE,0.9899,"['being one more than one in number', 'being the second —used postpositively']","[['C-note', 'fifty', 'fin', 'five', 'fiver', 'hundred', 'one', 'sawbuck', 'ten', 'tenner', 'twenty', 'buck', 'dollar', 'simoleon', 'smacker', 'cash', 'chips', 'currency', 'dough', 'legal tender', 'lucre', 'money', 'pelf', 'dead presidents', 'paper money', 'scrip', 'check', 'draft', 'money order', 'banknote', 'bill', 'greenback', 'note']]","['five', 'one']",[],[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9899,119,0.6761363636363636,39.591633,12.785902
16,of,of,of,17,3,2,Chorus,2,9,21,1,1,"[12, 17, 22, 27, 32, 179, 191, 196, 201, 211, 312, 399, 411, 416, 421, 431, 607, 619, 624, 629, 639]","[('of', 'IN')]",PREP,POSITIVE,0.9193,"['—used as a function word to indicate a point of reckoning', '—used as a function word to indicate origin or derivation', '—used as a function word to indicate the cause, motive, or reason']","[['afore', 'ahead of', 'before', 'ere', 'fore', 'previous to', 'prior to', 'to'], ['about', 'apropos', 'apropos of', 'as far as', 'as for', 'as regards', 'as to', 'concerning', 'on', 'regarding', 'respecting', 'touching', 'toward']]","['before', 'to', 'on']","[['after', 'following']]",[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9193,67,0.3806818181818182,15.152838,-26.415257
17,us,us,us,18,3,2,Chorus,2,10,20,0,0,"[13, 18, 23, 28, 33, 180, 192, 197, 202, 212, 400, 412, 417, 422, 432, 608, 620, 625, 630, 640]","[('us', 'PRP')]",PRON,POSITIVE,0.9990000000000001,[],"[['acquaint', 'advise', 'apprise', 'brief', 'catch up', 'clear', 'clue (in)', 'enlighten', 'familiarize', 'fill in', 'hip', 'inform', 'instruct', 'tell', 'verse', 'wise (up)']]",['tell'],[],[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9990000000000001,167,0.9488636363636364,-24.90055,14.467319
18,(just,just,just,19,3,2,Chorus,2,11,24,5,4,"[9, 14, 19, 24, 29, 84, 176, 188, 193, 198, 208, 232, 396, 408, 413, 418, 428, 457, 504, 604, 616, 621, 626, 636]","[('just', 'RB')]",ADV,POSITIVE,0.8226,"['having a basis in or conforming to fact or reason : reasonable', 'conforming to a standard of correctness : proper', 'faithful to an original']","[['exactly', 'precisely'], ['barely', 'hardly', 'marginally', 'narrowly', 'scarcely', 'slightly'], ['but', 'merely', 'only', 'purely', 'simply'], ['due', 'exactly', 'full', 'precisely', 'right', 'sharp', 'smack-dab', 'squarely'], ['alone', 'exclusively', 'only', 'purely', 'simply', 'solely'], ['freshly', 'late', 'lately', 'new', 'newly', 'now', 'only', 'recently']]","['but', 'right', 'now']","[['considerably', 'significantly', 'substantially', 'vastly', 'well'], ['anciently']]",[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.8226,59,0.3352272727272727,6.118309,16.671442
19,the,the,the,20,3,2,Chorus,2,12,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,"['—used as a function word to indicate that a following noun or noun equivalent is definite or has been previously specified by context or by circumstance', '—used as a function word to indicate that a following noun or noun equivalent is a unique or a particular member of its class', '—used as a function word before nouns that designate natural phenomena or points of the compass']","[['beer and skittles', 'easy street', 'fun and games', 'hog heaven', 'picnic']]",[],[],[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9636,84,0.4772727272727273,8.002122,-14.353836
20,two,two,two,21,3,2,Chorus,2,13,20,0,0,"[11, 16, 21, 26, 31, 178, 190, 195, 200, 210, 398, 410, 415, 420, 430, 606, 618, 623, 628, 638]","[('two', 'CD')]",DET,POSITIVE,0.9899,"['being one more than one in number', 'being the second —used postpositively']","[['C-note', 'fifty', 'fin', 'five', 'fiver', 'hundred', 'one', 'sawbuck', 'ten', 'tenner', 'twenty', 'buck', 'dollar', 'simoleon', 'smacker', 'cash', 'chips', 'currency', 'dough', 'legal tender', 'lucre', 'money', 'pelf', 'dead presidents', 'paper money', 'scrip', 'check', 'draft', 'money order', 'banknote', 'bill', 'greenback', 'note']]","['five', 'one']",[],[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9899,119,0.6761363636363636,38.79201,12.947593
21,of,of,of,22,3,2,Chorus,2,14,21,1,1,"[12, 17, 22, 27, 32, 179, 191, 196, 201, 211, 312, 399, 411, 416, 421, 431, 607, 619, 624, 629, 639]","[('of', 'IN')]",PREP,POSITIVE,0.9193,"['—used as a function word to indicate a point of reckoning', '—used as a function word to indicate origin or derivation', '—used as a function word to indicate the cause, motive, or reason']","[['afore', 'ahead of', 'before', 'ere', 'fore', 'previous to', 'prior to', 'to'], ['about', 'apropos', 'apropos of', 'as far as', 'as for', 'as regards', 'as to', 'concerning', 'on', 'regarding', 'respecting', 'touching', 'toward']]","['before', 'to', 'on']","[['after', 'following']]",[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9193,67,0.3806818181818182,15.3678665,-26.058786
22,us),us,us,23,3,2,Chorus,2,15,20,0,0,"[13, 18, 23, 28, 33, 180, 192, 197, 202, 212, 400, 412, 417, 422, 432, 608, 620, 625, 630, 640]","[('us', 'PRP')]",PRON,POSITIVE,0.9990000000000001,[],"[['acquaint', 'advise', 'apprise', 'brief', 'catch up', 'clear', 'clue (in)', 'enlighten', 'familiarize', 'fill in', 'hip', 'inform', 'instruct', 'tell', 'verse', 'wise (up)']]",['tell'],[],[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9990000000000001,167,0.9488636363636364,-23.988503,14.293646
23,Just,Just,just,24,4,2,Chorus,3,16,24,5,4,"[9, 14, 19, 24, 29, 84, 176, 188, 193, 198, 208, 232, 396, 408, 413, 418, 428, 457, 504, 604, 616, 621, 626, 636]","[('just', 'RB')]",ADV,POSITIVE,0.8226,"['having a basis in or conforming to fact or reason : reasonable', 'conforming to a standard of correctness : proper', 'faithful to an original']","[['exactly', 'precisely'], ['barely', 'hardly', 'marginally', 'narrowly', 'scarcely', 'slightly'], ['but', 'merely', 'only', 'purely', 'simply'], ['due', 'exactly', 'full', 'precisely', 'right', 'sharp', 'smack-dab', 'squarely'], ['alone', 'exclusively', 'only', 'purely', 'simply', 'solely'], ['freshly', 'late', 'lately', 'new', 'newly', 'now', 'only', 'recently']]","['but', 'right', 'now']","[['considerably', 'significantly', 'substantially', 'vastly', 'well'], ['anciently']]",[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.8226,59,0.3352272727272727,5.037288,15.63332
24,the,the,the,25,4,2,Chorus,3,17,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,"['—used as a function word to indicate that a following noun or noun equivalent is definite or has been previously specified by context or by circumstance', '—used as a function word to indicate that a following noun or noun equivalent is a unique or a particular member of its class', '—used as a function word before nouns that designate natural phenomena or points of the compass']","[['beer and skittles', 'easy street', 'fun and games', 'hog heaven', 'picnic']]",[],[],[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9636,84,0.4772727272727273,8.0960655,-13.448305
25,two,two,two,26,4,2,Chorus,3,18,20,0,0,"[11, 16, 21, 26, 31, 178, 190, 195, 200, 210, 398, 410, 415, 420, 430, 606, 618, 623, 628, 638]","[('two', 'CD')]",DET,POSITIVE,0.9899,"['being one more than one in number', 'being the second —used postpositively']","[['C-note', 'fifty', 'fin', 'five', 'fiver', 'hundred', 'one', 'sawbuck', 'ten', 'tenner', 'twenty', 'buck', 'dollar', 'simoleon', 'smacker', 'cash', 'chips', 'currency', 'dough', 'legal tender', 'lucre', 'money', 'pelf', 'dead presidents', 'paper money', 'scrip', 'check', 'draft', 'money order', 'banknote', 'bill', 'greenback', 'note']]","['five', 'one']",[],[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9899,119,0.6761363636363636,39.745884,11.348119
26,of,of,of,27,4,2,Chorus,3,19,21,1,1,"[12, 17, 22, 27, 32, 179, 191, 196, 201, 211, 312, 399, 411, 416, 421, 431, 607, 619, 624, 629, 639]","[('of', 'IN')]",PREP,POSITIVE,0.9193,"['—used as a function word to indicate a point of reckoning', '—used as a function word to indicate origin or derivation', '—used as a function word to indicate the cause, motive, or reason']","[['afore', 'ahead of', 'before', 'ere', 'fore', 'previous to', 'prior to', 'to'], ['about', 'apropos', 'apropos of', 'as far as', 'as for', 'as regards', 'as to', 'concerning', 'on', 'regarding', 'respecting', 'touching', 'toward']]","['before', 'to', 'on']","[['after', 'following']]",[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9193,67,0.3806818181818182,13.611365,-26.38689
27,us,us,us,28,4,2,Chorus,3,20,20,0,0,"[13, 18, 23, 28, 33, 180, 192, 197, 202, 212, 400, 412, 417, 422, 432, 608, 620, 625, 630, 640]","[('us', 'PRP')]",PRON,POSITIVE,0.9990000000000001,[],"[['acquaint', 'advise', 'apprise', 'brief', 'catch up', 'clear', 'clue (in)', 'enlighten', 'familiarize', 'fill in', 'hip', 'inform', 'instruct', 'tell', 'verse', 'wise (up)']]",['tell'],[],[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9990000000000001,167,0.9488636363636364,-24.121185,14.027373
28,(just,just,just,29,4,2,Chorus,3,21,24,5,4,"[9, 14, 19, 24, 29, 84, 176, 188, 193, 198, 208, 232, 396, 408, 413, 418, 428, 457, 504, 604, 616, 621, 626, 636]","[('just', 'RB')]",ADV,POSITIVE,0.8226,"['having a basis in or conforming to fact or reason : reasonable', 'conforming to a standard of correctness : proper', 'faithful to an original']","[['exactly', 'precisely'], ['barely', 'hardly', 'marginally', 'narrowly', 'scarcely', 'slightly'], ['but', 'merely', 'only', 'purely', 'simply'], ['due', 'exactly', 'full', 'precisely', 'right', 'sharp', 'smack-dab', 'squarely'], ['alone', 'exclusively', 'only', 'purely', 'simply', 'solely'], ['freshly', 'late', 'lately', 'new', 'newly', 'now', 'only', 'recently']]","['but', 'right', 'now']","[['considerably', 'significantly', 'substantially', 'vastly', 'well'], ['anciently']]",[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.8226,59,0.3352272727272727,4.3412967,16.267693
29,the,the,the,30,4,2,Chorus,3,22,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,"['—used as a function word to indicate that a following noun or noun equivalent is definite or has been previously specified by context or by circumstance', '—used as a function word to indicate that a following noun or noun equivalent is a unique or a particular member of its class', '—used as a function word before nouns that designate natural phenomena or points of the compass']","[['beer and skittles', 'easy street', 'fun and games', 'hog heaven', 'picnic']]",[],[],[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9636,84,0.4772727272727273,6.74047,-14.325266
30,two,two,two,31,4,2,Chorus,3,23,20,0,0,"[11, 16, 21, 26, 31, 178, 190, 195, 200, 210, 398, 410, 415, 420, 430, 606, 618, 623, 628, 638]","[('two', 'CD')]",DET,POSITIVE,0.9899,"['being one more than one in number', 'being the second —used postpositively']","[['C-note', 'fifty', 'fin', 'five', 'fiver', 'hundred', 'one', 'sawbuck', 'ten', 'tenner', 'twenty', 'buck', 'dollar', 'simoleon', 'smacker', 'cash', 'chips', 'currency', 'dough', 'legal tender', 'lucre', 'money', 'pelf', 'dead presidents', 'paper money', 'scrip', 'check', 'draft', 'money order', 'banknote', 'bill', 'greenback', 'note']]","['five', 'one']",[],[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9899,119,0.6761363636363636,39.837776,12.445585
31,of,of,of,32,4,2,Chorus,3,24,21,1,1,"[12, 17, 22, 27, 32, 179, 191, 196, 201, 211, 312, 399, 411, 416, 421, 431, 607, 619, 624, 629, 639]","[('of', 'IN')]",PREP,POSITIVE,0.9193,"['—used as a function word to indicate a point of reckoning', '—used as a function word to indicate origin or derivation', '—used as a function word to indicate the cause, motive, or reason']","[['afore', 'ahead of', 'before', 'ere', 'fore', 'previous to', 'prior to', 'to'], ['about', 'apropos', 'apropos of', 'as far as', 'as for', 'as regards', 'as to', 'concerning', 'on', 'regarding', 'respecting', 'touching', 'toward']]","['before', 'to', 'on']","[['after', 'following']]",[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9193,67,0.3806818181818182,13.95716,-26.648567
32,us),us,us,33,4,2,Chorus,3,25,20,0,0,"[13, 18, 23, 28, 33, 180, 192, 197, 202, 212, 400, 412, 417, 422, 432, 608, 620, 625, 630, 640]","[('us', 'PRP')]",PRON,POSITIVE,0.9990000000000001,[],"[['acquaint', 'advise', 'apprise', 'brief', 'catch up', 'clear', 'clue (in)', 'enlighten', 'familiarize', 'fill in', 'hip', 'inform', 'instruct', 'tell', 'verse', 'wise (up)']]",['tell'],[],[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9990000000000001,167,0.9488636363636364,-24.075407,15.409774
33,From,From,from,34,5,3,Verse 1: Will Smith,1,1,3,3,3,"[34, 75, 526]","[('from', 'IN')]",PREP,POSITIVE,0.7563,"['—used as a function word to indicate a starting point of a physical movement or a starting point in measuring or reckoning or in a statement of limits', '—used as a function word to indicate the starting or focal point of an activity', '—used as a function word to indicate physical separation or an act or condition of removal, abstention, exclusion, release, subtraction, or differentiation']",[['out of']],[],"[['amid', 'among', 'mid', 'midst', 'through', 'between', 'betwixt', 'in the thick of']]",[], from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.7563,53,0.30113636363636365,8.943781,-24.458286
