,word_can_search,m_w_definition,m_w_synonyms,m_w_synonyms_in_data,m_w_antonyms,m_w_antonyms_in_data
25,meet,"['to come into the presence of : find', 'to come together with especially at a particular time or place', 'to come into contact or conjunction with : join']","[['catch', 'chance (upon)', 'encounter', 'happen (upon)', 'stumble (upon)'], ['assemble', 'cluster', 'collect', 'concenter', 'concentrate', 'conglomerate', 'congregate', 'convene', 'converge', 'forgather', 'gather', 'rendezvous'], ['chance (upon)', 'encounter', 'find', 'happen (on or upon)', 'hit (upon)', 'light (on or upon)', 'pitch (upon)', 'stumble (on or onto)', 'tumble (upon)'], ['answer', 'complete', 'comply (with)', 'fill', 'fulfill', 'keep', 'redeem', 'satisfy'], ['battle', 'encounter', 'engage', 'face', 'take on'], ['equal', 'match', 'tie'], ['abide', 'absorb', 'accept', 'bear', 'bide', 'brook', 'countenance', 'endure', 'go', 'hack', 'handle', 'pocket', 'stand', 'stick out', 'stomach', 'support', 'sustain', 'sweat out', 'take', 'tolerate', 'wear'], ['ante (up)', 'balance', 'clear', 'discharge', 'foot', 'liquidate', 'pay', 'pay off', 'pay up', 'pony up', 'quit', 'recompense', 'settle', 'spring (for)', 'stand']]","['keep', 'go', 'take']","[['break up', 'disband', 'disperse', 'split (up)'], ['breach', 'break', 'transgress', 'violate'], ['repudiate']]",['break']
26,death,"['a permanent cessation of all vital functions : the end of life', 'an instance of dying', 'the cause or occasion of loss of life']","[['curtains', 'decease', 'demise', 'dissolution', 'doom', 'end', 'exit', 'expiration', 'expiry', 'fate', 'grave', 'great divide', 'passage', 'passing', 'quietus', 'sleep'], ['dead', 'deadness', 'grave', 'lifelessness', 'nothingness', 'sleep'], ['demise', 'expiration', 'expiry', 'termination'], ['destruction', 'downfall', 'ruin', 'ruination', 'undoing'], ['bloodbath', 'butchery', 'carnage', 'holocaust', 'massacre', 'slaughter']]",[],"[['birth', 'nativity'], ['existence', 'life'], ['alpha', 'beginning', 'birth', 'commencement', 'creation', 'dawn', 'genesis', 'inception', 'incipience', 'incipiency', 'launch', 'morning', 'onset', 'outset', 'start']]",['life']
27,before,"['in advance : ahead', 'at an earlier time']","[['afore', 'ahead of', 'ere', 'fore', 'of', 'previous to', 'prior to', 'to'], ['afore', 'ahead of', 'fore']]","['of', 'to']","[['after', 'following'], ['after', 'following']]",[]
28,let,"['to cause to : make', 'to give opportunity to or fail to prevent', '—used in the imperative to introduce a request or proposal']","[['allow', 'leave', 'permit'], ['lease', 'rent'], ['allow', 'empower', 'enable', 'permit'], ['allow', 'permit', 'suffer', 'tolerate']]",[],"[['enjoin', 'forbid', 'prohibit'], ['prevent'], ['bar', 'block', 'constrain', 'prevent']]",[]
29,harm,"['physical or mental damage : injury', 'mischief, hurt']","[['affliction', 'damage', 'detriment', 'hurt', 'injury']]",['hurt'],[],[]
30,although,['in spite of the fact that : even though'],"[['albeit', 'as', 'howbeit', 'much as', 'notwithstanding', 'though', 'when', 'whereas', 'while', 'whilst']]","['as', 'when']",[],[]
31,questions,"['to ask a question of or about', 'to interrogate intensively : cross-examine', 'doubt, dispute']","[['interrogatives', 'problems'], ['calls', 'inquiries', 'queries', 'requests'], ['challenges', 'complaints', 'demurrals', 'demurrers', 'demurs', 'difficulties', 'exceptions', 'expostulations', 'fusses', 'kicks', 'objections', 'protests', 'remonstrances', 'stinks'], ['contents', 'matters', 'motifs', 'motives', 'subjects', 'themes', 'topics']]",[],[],[]
32,arose,[],"[['got up', 'rolled out', 'rose', 'turned out', 'uprose'], ['came up', 'cropped (up)', 'emerged', 'materialized', 'sprang (up)', 'surfaced'], ['actualized', 'appeared', 'began', 'broke', 'commenced', 'dawned', 'engendered', 'formed', 'materialized', 'originated', 'set in', 'sprang', 'started'], ['ascended', 'aspired', 'climbed', 'lifted', 'mounted', 'rose', 'soared', 'thrust', 'upped', 'upreared', 'uprose', 'upthrusted', 'upturned']]",[],"[['bedded (down)', 'retired', 'turned in'], ['ceased', 'ended', 'stopped'], ['declined', 'descended', 'dipped', 'dropped', 'fell (off)', 'plunged']]",[]
33,mind,"['recollection, memory', 'the element or complex of elements in an individual that feels, perceives, thinks, wills, and especially reasons', 'the conscious mental events and capabilities in an organism']","[['brain', 'cerebrum', 'head', 'psyche', 'thinker'], ['daylights', 'head', 'marbles', 'reason', 'saneness', 'sanity', 'wit(s)'], ['belief', 'conviction', 'eye', 'feeling', 'judgment', 'notion', 'opinion', 'persuasion', 'sentiment', 'verdict', 'view'], ['memory', 'recollection', 'remembrance', 'reminiscence']]",['head'],"[['dementia', 'derangement', 'insanity', 'lunacy', 'madness', 'mania', 'unreason']]",[]
34,would,"['—used in auxiliary function to express plan or intention', 'should', '—used in auxiliary function to express consent or choice']","[['bequeath', 'leave'], ['choose', 'like', 'please', 'want', 'wish']]","['choose', 'like', 'please']",[],[]
35,be,"['to equal in meaning : have the same connotation as : symbolize', 'to have identity with : to constitute the same idea or object as', 'to constitute the same class as']","[['breathe', 'exist', 'live', 'subsist'], ['bear', 'lie', 'sit', 'stand'], ['grade', 'place', 'rank', 'rate', 'stand'], ['befall', 'betide', 'chance', 'come', 'come about', 'come down', 'come off', 'cook', 'do', 'go down', 'go on', 'hap', 'happen', 'occur', 'pass', 'transpire']]","['place', 'come', 'do']","[['depart', 'die', 'expire', 'pass away', 'perish', 'succumb']]",[]
36,man,"['an individual human; especially : an adult male human', 'a man belonging to a particular category (as by birth, residence, membership, or occupation) —usually used in combination', 'husband']","[['bastard', 'bloke', 'buck', 'cat', 'chap', 'chappie', 'dude', 'fella', 'fellow', 'galoot', 'gent', 'gentleman', 'guy', 'hombre', 'jack', 'joe', 'joker', 'lad', 'male'], ['beau', 'boy', 'boyfriend', 'fellow', 'old man', 'swain'], ['baby', 'being', 'bird', 'bod', 'body', 'character', 'cookie', 'creature', 'customer', 'devil', 'duck', 'egg', 'face', 'fish', 'guy', 'head', 'human', 'human being', 'individual', 'life', 'mortal', 'party', 'person', 'personage', 'scout', 'slob', 'sort', 'soul', 'specimen', 'stiff', 'thing', 'wight'], ['Homo sapiens', 'humanity', 'humankind', 'mankind'], ['hubby', 'husband', 'mister', 'old man'], ['constabulary', 'finest', 'force', 'fuzz', 'heat', 'police', 'police force']]","['boy', 'baby', 'head', 'life']",[],[]
37,enough,"['occurring in such quantity, quality, or scope as to fully meet demands, needs, or expectations']","[['adequately', 'satisfactorily', 'sufficiently', 'suitably'], ['fairly', 'kind of', 'kindly', 'like', 'moderately', 'more or less', 'pretty', 'quite', 'rather', 'relatively', 'something', 'somewhat', 'sort of'], ['all', 'all of', 'all over', 'altogether', 'clean', 'completely', 'dead', 'entire', 'entirely', 'even', 'exactly', 'fast', 'flat', 'full', 'fully', 'heartily', 'out', 'perfectly', 'plumb', 'quite', 'soundly', 'thoroughly', 'through and through', 'totally', 'utterly', 'well', 'wholly', 'wide']]","['like', 'all', 'fast', 'out']","[['inadequately', 'insufficiently', 'unsatisfactorily'], ['half', 'halfway', 'incompletely', 'part', 'partially', 'partly']]",[]
38,against,"['in opposition or hostility to', 'not in conformity with : contrary to', 'in competition with']","[['on', 'upon'], ['agin', 'anti', 'contra']]",['on'],"[['for', 'pro']]",['for']
39,wrong,"['an injurious, unfair, or unjust act : action or conduct inflicting harm without due provocation or just cause', 'a violation or invasion of the legal rights of another; especially : tort', 'something wrong, immoral, or unethical; especially : principles, practices, or conduct contrary to justice, goodness, equity, or law']","[['bad', 'bastard', 'bush', 'bush-league', 'crummy', 'deficient', 'dissatisfactory', 'ill', 'inferior', 'lame', 'lousy', 'off', 'paltry', 'poor', 'punk', 'sour', 'suboptimal', 'subpar', 'substandard', 'unacceptable', 'unsatisfactory', 'wack', 'wanting', 'wretched'], ['incorrect', 'mistaken'], ['amiss', 'graceless', 'improper', 'inapposite', 'inappropriate', 'inapt', 'incongruous', 'incorrect', 'indecorous', 'inept', 'infelicitous', 'malapropos', 'perverse', 'unapt', 'unbecoming', 'unfit', 'unhappy', 'unseemly', 'unsuitable', 'untoward'], ['erroneous', 'false', 'inaccurate', 'incorrect', 'inexact', 'invalid', 'off', 'unsound', 'untrue', 'untruthful'], ['bad', 'black', 'dark', 'evil', 'immoral', 'iniquitous', 'nefarious', 'rotten', 'sinful', 'unethical', 'unlawful', 'unrighteous', 'unsavory', 'vicious', 'vile', 'villainous', 'wicked']]","['bad', 'off']","[['acceptable', 'adequate', 'all right', 'decent', 'fine', 'OK', 'passable', 'respectable', 'satisfactory', 'standard', 'tolerable'], ['correct', 'right'], ['appropriate', 'becoming', 'befitting', 'correct', 'decorous', 'felicitous', 'fit', 'fitting', 'genteel', 'happy', 'meet', 'proper', 'right', 'seemly', 'suitable'], ['accurate', 'correct', 'errorless', 'exact', 'factual', 'precise', 'proper', 'right', 'sound', 'true', 'valid', 'veracious'], ['decent', 'ethical', 'good', 'honest', 'honorable', 'just', 'moral', 'right', 'righteous', 'sublime', 'upright', 'virtuous']]","['right', 'meet', 'true', 'good', 'just']"
40,choose,"['to select freely and after consideration', 'to decide on especially by vote : elect', 'to have a preference for']","[['cherry-pick', 'cull', 'elect', 'handpick', 'name', 'opt (for)', 'pick', 'prefer', 'select', 'single (out)', 'tag', 'take'], ['like', 'please', 'want', 'will', 'wish'], ['conclude', 'decide', 'determine', 'figure', 'name', 'opt', 'resolve', 'settle (on or upon)']]","['take', 'like', 'please', 'will']","[['decline', 'refuse', 'reject', 'turn down']]",[]
41,right,"['righteous, upright', 'being in accordance with what is just, good, or proper', 'conforming to facts or truth : correct']","[['appanage', 'birthright', 'prerogative'], ['call', 'claim', 'dibs', 'pretense', 'pretension'], ['equity', 'fair shake', 'justice']]",[],"[['inequity', 'injustice', 'raw deal', 'wrong']]",['wrong']
42,and,"['—used as a function word to indicate connection or addition especially of items within the same class or type—used to join sentence elements of the same grammatical rank or function', '—used as a function word to express logical modification, consequence, antithesis, or supplementary explanation', '—used as a function word to join one finite verb (such as go, come, try) to another so that together they are logically equivalent to an infinitive of purpose']","[['constantly', 'continually', 'frequently', 'hourly', 'much', 'oft', 'often', 'oftentimes', 'over and over', 'repeatedly']]",['much'],"[['infrequently', 'little', 'rarely', 'seldom']]",['little']
43,standing,"['not yet cut or harvested', 'upright on the feet or base : erect', 'not flowing : stagnant']","[['class', 'dignity', 'fashion', 'quality', 'rank', 'state'], ['continuance', 'date', 'duration', 'life', 'life span', 'lifetime', 'run', 'time'], ['degree', 'echelon', 'footing', 'level', 'place', 'position', 'rank', 'ranking', 'reach(es)', 'rung', 'situation', 'station', 'status', 'stratum']]","['dignity', 'life', 'time', 'place']",[],[]
44,up,"['in or into a higher position or level; especially : away from the center of the earth', 'from beneath the ground or water to the surface', 'from below the horizon']","[['upward', 'upwardly', 'aloft']]",[],"[['below', 'down', 'downward', 'over', 'facedown', 'low']]",[]
45,hospital,"['a charitable institution for the needy, aged, infirm, or young', 'an institution where the sick or injured are given medical or surgical care —usually used in British English without an article after a preposition', 'a repair shop for specified small objects']","[['clinic', 'infirmary', 'medical center', 'sick bay', 'sickroom', 'hospice', 'sanatorium', 'sanitarium', 'sanitorium', 'halfway house', 'home']]",['home'],[],[]
46,that,"['the person, thing, or idea indicated, mentioned, or understood from the situation', 'the time, action, or event specified', 'the kind or thing specified as follows']","[['achingly', 'almighty', 'archly', 'awful', 'awfully', 'badly', 'beastly', 'blisteringly', 'bone', 'colossally', 'corking', 'cracking', 'damn', 'damned', 'dang', 'deadly', 'desperately', 'eminently', 'enormously', 'especially', 'ever', 'exceedingly', 'extra', 'extremely', 'fabulously', 'fantastically', 'far', 'fiercely', 'filthy', 'frightfully', 'full', 'greatly', 'heavily', 'highly', 'hugely', 'immensely', 'incredibly', 'intensely', 'jolly', 'majorly', 'mightily', 'mighty', 'monstrous', 'mortally', 'most', 'much', 'particularly', 'passing', 'rattling', 'real', 'really', 'right', 'roaring', 'roaringly', 'seriously', 'severely', 'so', 'sore', 'sorely', 'spanking', 'specially', 'stinking', 'such', 'super', 'supremely', 'surpassingly', 'terribly', 'thumping', 'too', 'unco', 'uncommonly', 'vastly', 'very', 'vitally', 'way', 'whacking', 'wicked', 'wildly']]","['much', 'right', 'so', 'too', 'very']","[['little', 'negligibly', 'nominally', 'slightly', 'somewhat']]",['little']
47,night,"['the time from dusk to dawn when no sunlight is visible', 'an evening or night taken as an occasion or point of time', 'an evening set aside for a particular purpose']","[['dark', 'darkness', 'nighttime'], ['black', 'blackness', 'candlelight', 'dark', 'darkness', 'dusk', 'gloaming', 'gloom', 'murk', 'semidarkness', 'shade', 'shadows', 'twilight', 'umbra'], ['crepuscule', 'dusk', 'eve', 'evenfall', 'evening', 'eventide', 'gloaming', 'nightfall', 'sundown', 'sunset', 'twilight']]",[],"[['day', 'daytime'], ['blaze', 'brightness', 'brilliance', 'day', 'daylight', 'glare', 'glow', 'light', 'lightness'], ['aurora', 'cockcrow', 'dawn', 'dawning', 'daybreak', 'daylight', 'morn', 'morning', 'sunrise', 'sunup']]",['day']
48,took,[],"[['clasped', 'grasped', 'gripped', 'held'], ['accepted', 'had'], ['came down (with)', 'caught', 'contracted', 'got', 'sickened (with)', 'went down (with)'], ['cherry-picked', 'chose', 'culled', 'elected', 'handpicked', 'named', 'opted (for)', 'picked', 'preferred', 'selected', 'singled (out)', 'tagged'], ['bought', 'copped', 'picked up', 'purchased'], ['bore', 'challenged', 'claimed', 'demanded', 'necessitated', 'needed', 'required', 'wanted', 'warranted'], ['accommodated', 'fitted', 'held'], ['acted', 'operated', 'performed', 'worked'], ['abided', 'absorbed', 'accepted', 'bode', 'bore', 'brooked', 'countenanced', 'endured', 'hacked', 'handled', 'met', 'pocketed', 'stomached', 'stood', 'stuck out', 'supported', 'sustained', 'sweat out', 'tolerated', 'went', 'wore'], ['accepted', 'believed', 'bought', 'credited', 'swallowed', 'trusted'], ['beat', 'bested', 'conquered', 'defeated', 'did down', 'dispatched', 'got', 'got around', 'licked', 'mastered', 'overbore', 'overcame', 'overmatched', 'prevailed (over)', 'skunked', 'stopped', 'subdued', 'surmounted', 'trimmed', 'triumphed (over)', 'upended', 'won (against)', 'worsted'], ['addressed', 'contended (with)', 'coped (with)', 'fielded', 'grappled (with)', 'hacked', 'handled', 'managed', 'maneuvered', 'manipulated', 'negotiated', 'played', 'swung', 'treated'], ['admitted', 'entered', 'received'], ['carried off', 'claimed', 'croaked', 'destroyed', 'did in', 'dispatched', 'felled', 'killed', 'slew']]","['had', 'got']","[['declined', 'denied', 'disallowed', 'disapproved', 'negatived', 'refused', 'rejected', 'spurned', 'turned down', 'vetoed'], ['declined', 'refused', 'rejected', 'turned down'], ['had', 'held'], ['disbelieved', 'discredited', 'rejected'], ['lost (to)'], ['banned', 'barred'], ['animated']]",['had']
49,hour,"['a time or office for daily liturgical devotion; especially : canonical hour', 'the 24th part of a day : 60 minutes', 'the time of day reckoned in two 12-hour periods']","[['boiling point', 'breaking point', 'clutch', 'conjuncture', 'crisis', 'crossroad(s)', 'crunch', 'crunch time', 'Dunkirk', 'emergency', 'exigency', 'extremity', 'flash point', 'head', 'juncture', 'tinderbox']]",['head'],[],[]
50,to,"['—used as a function word to indicate movement or an action or condition suggestive of movement toward a place, person, or thing reached', '—used as a function word to indicate direction', '—used as a function word to indicate contact or proximity']","[['afore', 'ahead of', 'before', 'ere', 'fore', 'of', 'previous to', 'prior to']]","['before', 'of']","[['after', 'following']]",[]
